276	Caberea grandis	0			
277	Canda arachnoides	0			
278	Canda tenuis	0			
279	Caberea darwinii	0			
280	Caberea glabra	0			
281	Aetea dilatata	0			
282	Aetea anguina	0			
283	Schizoporella triangula	0			
284	Schizoporella subsinuata	0			
285	Schizoporella cryptostoma	0			
286	Gemellipora striatula	0			
287	Catenicella gemella	0			
288	Catenicella urnula	0			
289	Catenicella gracilenta	0			
290	Catenicella venusta	0			
291	Catenicella pulchra	0			
292	Catenicella imperforata	0			
293	Diastopora cristata	0			
294	Diastopora capitata	0			
295	Diastopora bicolor	0			
296	Diastopora sarniensis	0			
297	Diastopora patina	0			
298	Cellepora megasoma	0			
299	Cellepora costata	0			
300	Cellepora rota	0			
301	Cellepora costazei var. spatula	0			
302	Cellepora platalea	0			
303	Cellepora glomerata	0			
304	Cellepora vitrea	0			
305	Cellepora tiara	0			
306	Cellepora benemunita	0			
307	Poecilopora anomola	0			
308	Fasciculipora bellis	0			
309	Fasciculipora fruticosa	0			
310	Fasciculipora ramosa	0			
311	Farciminaria aculeata	0			
312	Farciminaria uncinata	0			
313	Farciminaria simplex	0			
314	Bracebridgia pyriformis	0			
315	Cellepora simplex	0			
316	Cellepora diadema	0			
317	Cellepora spicata	0			
318	Cellepora cidaris	0			
319	Cellepora bispinata	0			
320	Cellepora verrucosa	0			
321	Cellepora foliata	0			
322	Cellepora intermedia	0			
323	Cellepora prolifera	0			
324	Cellepora albirostris	0			
325	Cellepora fusca	0			
326	Cellepora lirata	0			
327	Cellepora magnirostris	0			
328	Tessaradoma magnirostris	0			
329	Microporella diadema var. lunipuncta	0			
330	Microporella diadema var. longispina	0			
331	Microporella diadema var. lata	0			
332	Microporella diadema var. canaliculata	0			
333	Microporella scandens	0			
334	Microporella ciliata var. spicata	0			
335	Microporella ciliata var. personata	0			
336	null - misspelling	0			
337	Microporella malusii var. thyreophora	0			
338	Escharipora stellata	0			
339	Stomatopora geminata	0			
340	Flosculipora pygmaea	0			
341	Lichenopora magnifica	0			
342	Lichenopora bullata	0			
343	Craspedozoum ligulatum	0			
344	Craspedozoum spicatum	0			
345	Craspedozoum roboratum	0			
346	Menipea funiculata	0			
347	Aetea recta	0			
348	Scruparia chelata	0			
349	Rhabdozoum wilsoni	0			
350	Farcimia appendiculata	0			
351	Catenicella ringens	0			
352	Dimetopia hirta	0			
353	Amathia australis	0			
354	Schizoporella woosteri	0			
355	Schizoporella pulcherrima	0			
356	Schizoporella latisinuata	0			
357	Schizoporella biturrita	0			
358	Schizoporella hyalina	0			
359	Cribrilina radiata	0			
360	Cribrilina setirostris	0			
361	Cribrilina monoceros	0			
362	Cribrilina acanthoceros	0			
363	Hippothoa divaricata	0			
364	Hippothoa distans	0			
365	Electra amplectens	0			
366	Stirparia glabra	0			
367	Beania intermedia	0			
368	Beania conferta	0			
369	Beania wilsoni	0			
370	Verrucularia dichotoma	0			
371	Thairopora armata	0			
372	Thairopora mamillaris	0			
373	Thairopora jervoisii	0			
374	Micropora coriacea	0			
375	Micropora coriacea var. angusta	0			
376	Rhyncopora bispinosa	0			
377	Rhyncopora longirostris	0			
378	Idmidronea australis	0			
379	Nevianipora interjuncta	0			
380	Mesonea radians	0			
381	Tubulipora pulchra	0			
382	Diaperoecia australis	0			
383	Plagioecia sarniensis	0			
384	Densipora corrugata	0			
385	Lichenopora echinata	0			
386	Cryptopolyzoon wilsoni	0			
387	Zoobotryon verticillatum	0			
388	Scruparia ambigua	0			
389	Membranipora perfragilis	0			
390	Electra pilosa	0			
391	Spiralaria denticulata	0			
392	Amphiblestrum propinquum	0			
393	Crassimarginatella corbula	0			
394	Chaperia cervicornis	0			
395	Micropora stenostoma	0			
396	Selenaria maculata	0			
397	Lunulites capulus	0			
398	Steginoporella truncata	0			
399	Thairopora cincta	0			
400	Cellaria pilosa	0			
401	Bugularia dissimilis	0			
402	Cornucopina grandis	0			
403	Beania discodermiae	0			
404	Beania magellanica	0			
405	Scrupocellaria bertholettii	0			
406	Amastigia rudis	0			
407	Emma rotunda	0			
408	Tricellaria monotrypa	0			
409	Tricellaria porteri	0			
410	Arachnopusia unicornis	0			
411	Exochella tricuspis	0			
412	Mucropetraliella ellerii	0			
413	Adeonellopsis foliacea	0			
414	Adeonellopsis sulcata	0			
415	Celleporaria bispinata	0			
416	Celleporaria fusca	0			
417	Microporella ciliata	0			
418	Calloporina canaliculata	0			
419	Calloporina lunata	0			
420	Fenestrulina malusii	0			
421	Porina gracilis	0			
422	Hippothoa aporosa	0			
423	Gigantopora biturrita	0			
424	Cigclisula verticalis	0			
425	Arthropoma cecilii	0			
426	Schizomavella triangula	0			
427	Didymosella larvalis	0			
428	Smittina maplestonei	0			
429	Smittina papillifera	0			
430	Parasmittina unispinosa	0			
431	Parasmittina raigii	0			
432	Porella marsupium	0			
433	Smittoidea acaroensis	0			
434	Margaretta hirsuta	0			
435	Sertella fissa	0			
436	Hippoporella orbicularis	0			
437	Iodictyum phoeniceum	0			
438	Rhynchozoon tubulosum	0			
439	Schizoretepora tessellata	0			
440	Triphyllozoon moniliferum	0			
441	Triphyllozoon umbonatum	0			
442	Cryptosula pallasiana	0			
443	Watersipora arcuata	0			
444	Lanceopora obliqua	0			
445	Celleporina costata	0			
446	Celleporina spatula	0			
447	Osthimosia glomerata	0			
448	Claviporella aurita	0			
449	Cornuticella cornuta	0			
450	Costaticella hastata	0			
451	Orthoscuticella ventricosa	0			
452	Paracribricellina cribraria	0			
453	Pterocella alata	0			
454	Vittaticella elegans	0			
455	Adeona grisea	1			
456	Parasmittina agathae	0			
457	Parasmittina delicatula	0			
458	Parasmittina fistulata	0			
459	Parasmittina hastingsae	1			
460	Parasmittina parsevalii	0			
461	Parasmittina parsloeparsloei	0			
462	Parasmittina pectinata	0			
463	Parasmittina solenosmilioides	0			
464	Lichenopora novaezelandiae	0			
465	Antropora granulifera	0			
466	Parellisina curvirostris	0			
467	Crassimarginatella (Corbulella) corbula	0			
468	Cranosina coronata	0			
469	Nellia tenuis	0			
470	Bugula vectifera	0			
471	Bugula subglobosa	0			
472	Scrupocellaria diadema	0			
