265	Camptoplites latus	(Kluge, 1914)	192	1			
266	Camptoplites lewaldi	(Kluge, 1914)	192	1			
267	Camptoplites rectilinearis	Hastings, 1943	192	1	ZR1943		
268	Camptoplites retiformis	(Kluge, 1914)	192	1			
269	Camptoplites tricornis	(Waters, 1904)	192	1			
270	Cornucopina lata	(Kluge, 1914)	194	1			
271	Cornucopina ovalis	Hastings, 1943	194	1	ZR1943		
272	Cornucopina pectogemma	(Goldstein, 1882)	194	1			
273	Cornucopina polymorpha	(Kluge, 1914)	194	1			
274	Himantozoum antarcticum	(Calvet, 1909)	192	1			
275	Himantozoum obtusum	Hastings, 1943	192	1	ZR1943		
276	Klugella buski	Hastings, 1943	192	1	ZR1943		
277	Klugella echinata	(Kluge, 1914)	192	1	ZR1943		
278	Caberea darwinii	Busk, 1884	202	1			
279	Amastigia antarctica	(Kluge, 1914)	202	1			
280	Amastigia benemunita	(Busk, 1884)	202	1			
281	Amastigia cabereoides	(Kluge, 1914)	202	1			
282	Amastigia crassimarginata	(Busk, 1884)	202	1			
283	Amastigia gaussi	(Kluge, 1914)	202	1			
284	Amastigia kirkpatricki	(Levinsen MS, in Harmer 1923)	202	1	ZR1923		
285	Amastigia solida	(Kluge, 1914)	202	1			
286	Notoplites antarcticus	(Waters, 1904)	202	1			
287	Notoplites crassiscutus	Hastings, 1943	202	1	ZR1943		
288	Notoplites drygalskii	(Kluge, 1914)	202	1			
289	Notoplites elongatus	(Busk, 1884)	202	1			
290	Notoplites klugei	(Hasenbank, 1932)	202	1	ZR1932		
291	Notoplites tenuis	(Kluge, 1914)	202	1			
292	Notoplites uniserialis	Hastings, 1943	202	1	ZR1943		
293	Notoplites vanhoffeni	(Kluge, 1914)	202	1			
294	Notoplites watersi	(Kluge, 1914)	202	1			
295	Tricellaria aculeata	(d'Orbigny, 1842)	202	1			
296	Menipea flagellifera	Busk, 1884	202	1	as Menipea		
297	Menipea kempi	Hastings, 1943	202	1	ZR1943		
298	Menipea patagonica	Busk, 1852	202	1			
299	Beania challengeri	Hastings, 1943	200	1	ZR1943		
300	Beania costata	(Busk, 1876)	200	1			
301	Beania erecta	Waters, 1904	200	1			
302	Beania inermis	(Busk, 1852)	200	1			
303	Beania scotti	Hastings, 1943	200	1	ZR1943		
304	Micropora brevissima	Waters, 1904	158	1	Moyano 1994		
305	Micropora notialis	Hayward & Ryland, 1993	158	1			
306	Apiophragma hyalina	(Waters, 1904)	158	1			
307	Andreella uncifera	(Busk, 1884)	158	1			
308	Flustrapora magellanica	Moyano, 1970	232	1	ZR1970		
309	Ogivalia elegans	(d'Orbigny, 1842)	1007	1			
310	Chondriovelum adeliense	(Livingstone, 1928)	156	1	ZR1928		
311	Cellaria aurorae	Livingstone, 1928	178	1	ZR1928		
312	Cellaria clavata	(Busk, 1884)	178	1			
313	Cellaria coronata	(Rogick, 1956)	178	1			
314	Cellaria diversa	Livingstone, 1928	178	1	ZR1928		
315	Cellaria incula	Hayward & Ryland, 1993	178	1			
316	Cellaria malvinensis	(Busk, 1852)	178	1			
317	Cellaria moniliorata	Rogick, 1956	178	1	ZR1956		
318	Cellaria sagittula	Hayward & Ryland, 1993	178	1			
319	Paracellaria wandeli	(Calvet, 1909)	178	1	ZR1969		
320	Paracellaria calveti	(d'Hondt, 1985)	178	1	ZR1985-040; as  ZR1989/90-061		
321	Paracellaria cellarioides	Hayward & Thorpe, 1989	178	1	ZR1989/90-061		
322	Paracellaria elephantina	Hayward & Thorpe, 1989	178	1	ZR1989/90-061		
323	Swanomia membranacea	(Thornely, 1924)	178	1	ZR1924		
324	Swanomia belgica	Hayward & Ryland, 1993	178	1			
325	Swanomia brevimandibulata	(Moyano, 1969)	178	1	ZR1969		
326	Stomhypselosaria watersi	Hayward & Thorpe, 1989	178	1	ZR1989/90-061		
327	Melicerita blancoae	Lopez Gappa, 1981	178	1	ZR1982-082		
328	Melicerita digeronimoi	Rosso, 1992	178	1			
329	Melicerita flabellifera	Hayward & Winston, 1994	178	1			
330	Melicerita latilaminata	Rogick, 1956	178	1	ZR1956		
331	Melicerita obliqua	(Thornely, 1924)	178	1	ZR1924,  ZR1928		
332	Aspidostoma giganteum	(Busk, 1854)	180	1			
333	Aspidostoma coronatum	(Thornely, 1924)	180	1	ZR1924		
334	Larvapora mawsoni	(Livingstone, 1928)	180	1	ZR1928		
335	Dendroperistoma projecta	(Waters, 1904)	206	1			
336	Figularia discors	Hayward & Taylor, 1984	206	1	ZR1984-059		
337	Filaguria spatulata	(Calvet, 1909)	206	1			
338	Klugerella antarctica	(Kluge, 1914)	206	1			
339	Arachnopusia monoceros	(Busk, 1854)	208	1			
