320	Chimonides & Cook, 1994	Notes on the genus Cranosina		
321	Cook, 1964c	Polyzoa from West Africa. Notes ... Hippoporina		
322	Cook, 1964b	Resultats scientifiques ...Calypso		
323	Hastings, 1964	The Cheilostomatous Polyzoa Neoeuthyris woosteri..		
324	Busk, 1858	Zoophytology, Pl. 18,19		
325	Busk, Dyster ? 1858	Zoophytology, Pl. 20, 21		
326	Busk, 1859a	Zoophytology, Pl. 22, 23		
327	Busk, Hincks, 1860	Zoophytology, Pl. 30,31		
328	Busk, 1860	Catalogue...Madeira.. in the years 1959 and 1860		
329	Busk, 1861	Zoophytology. Description..Madeira -  Pl. 32-33		
330	Whitelegge, 1887	Notes on some Australian Polyzoa		
331	Busk, 1852a	Rattlesnake		
332	Lamouroux, 1816	Histoire des Polypiers Flexibles ...		
333	Tenison Woods, 1865	On some Tertiary fossils in South Australia		
334	Tenison Woods, 1877a	On some Tertiary Australian Polyzoa		
335	Tenison Woods, 1877b	On some new Australia Polyzoa		
336	Tenison Woods, 1879	On some Australia Tertiary fossil corals and Polyz		
337	Tenison Woods, 1880b	On some Recent and fossil ...Selenariadae		
338	Tenison Woods, 1880a	On the genus Amathia ...		
339	Tenison Woods, 1877c	CHECK roy soc. tas, p.115		
340	Canu & Bassler, 1930	Bryozoa of the Galapagos Islands		
341	Kirchenpauer, 1869	Neue Bryozoen		
342	Kirchenpauer, 1880	Ueber die Bryozoen-Gattung Adeona		
343	Liu, 1982a	Two new species...Crassimarginatella...East China		
344	Liu, 1982b	A new species of Kinetoskias		
345	Liu, 1982c	New species ...Antropora and Beania from China		
346	Liu, 1983	On three species of Ellisina...		
347	Liu, 1984a	On species of Family Bicellariellidae ...		
348	Liu, 1984b	On the species of Family Scrupocellariidae...		
349	Liu, 1985	On genus Caulibugula...		
350	Liu & Hu, 1991	On the cheilostome bryozoans...Antarctic Peninsula		
351	Liu, 1992	On the genus Membranipora...		
352	Lagaaij, 1963	New additions... Gulf of Mexico		
353	Aristegui, 1985	The genus Adeonellopsis...		
354	lopez de la Cuadra & Garcia-Gomez, 1997	Studies on Recent Macroporidae...		
355	Rogick, 1956	Bryozoa of the United States Navy's 1947-1948		
356	Rogick, 1949	Studies on marine Bryozoa III. Woods Hole...		
357	Rogick, 1959	Studies on marine Bryozoa XI. Antarctic Osthimo...		
358	Rogick, 1955	Genus Emballotheca Levinsen 1909		
359	Hayward & Thorpe, 1989b	Systematic notes on some Antarctic Ascophora		
360	Boardman, Taylor & McKinney, 1992	Morphology ... Cinctiporidae		
