SpeciesID	Current_Name	Author	FAMCODE	Recent	Remarks	Date_created	Date_modified	first_name	html_page	OK	Status	FAMILIES::NAME
148	Stylopoma viride	(Thornely, 1905)	250	1	\N	\N	2010-05-23	Stylopoma	bryozoa.net/cheilostomata/schizoporellidae/stylopoma_viride.html	1	\N	SCHIZOPORELLIDAE
16641	Stylopoma vilaensis	Tilbrook, 2001	250	1	ZR2001-092	\N	2010-05-23	Stylopoma	bryozoa.net/cheilostomata/schizoporellidae/stylopoma_vilaensis.html	1	\N	SCHIZOPORELLIDAE
16640	Stylopoma velatum	Tilbrook, 2001	250	1	ZR2001-092	\N	2010-05-23	Stylopoma	bryozoa.net/cheilostomata/schizoporellidae/stylopoma_velatum.html	1	\N	SCHIZOPORELLIDAE
16639	Stylopoma varus	Tilbrook, 2001	250	1	ZR2001-092	\N	2010-05-23	Stylopoma	bryozoa.net/cheilostomata/schizoporellidae/stylopoma_varus.html	1	\N	SCHIZOPORELLIDAE
147	Stylopoma thornelyi	(Livingstone, 1926)	250	1	\N	\N	2010-05-23	Stylopoma	bryozoa.net/cheilostomata/schizoporellidae/stylopoma_thornelyi.html	1	\N	SCHIZOPORELLIDAE
16636	Stylopoma novum	Tilbrook, 2001	250	1	ZR2001-092	\N	2010-05-23	Stylopoma	bryozoa.net/cheilostomata/schizoporellidae/stylopoma_novum.html	1	\N	SCHIZOPORELLIDAE
16635	Stylopoma mauritiana	Tilbrook, 2001	250	1	ZR2001-092	\N	2010-05-23	Stylopoma	bryozoa.net/cheilostomata/schizoporellidae/stylopoma_mauritiana.html	1	\N	SCHIZOPORELLIDAE
20008	Stylopoma horarium	Tilbrook, 2006	250	1	\N	\N	2010-05-23	Stylopoma	bryozoa.net/cheilostomata/schizoporellidae/stylopoma_horarium.html	1	\N	SCHIZOPORELLIDAE
205	Stylopoma herodias	Hayward & Ryland, 1995	250	1	ZR1995/96-045	\N	2010-05-23	Stylopoma	bryozoa.net/cheilostomata/schizoporellidae/stylopoma_herodias.html	1	\N	SCHIZOPORELLIDAE
146	Stylopoma duboisii	(Audouin, 1826)	250	1	\N	\N	2010-05-23	Stylopoma	bryozoa.net/cheilostomata/schizoporellidae/stylopoma_duboisii.html	1	\N	SCHIZOPORELLIDAE
20007	Stylopoma consobrina	Tilbrook, 2006	250	1	\N	\N	2010-05-23	Stylopoma	bryozoa.net/cheilostomata/schizoporellidae/stylopoma_consobrina.html	1	\N	SCHIZOPORELLIDAE
20006	Schizoporella gibsonensis	Tilbrook, 2006	250	1	\N	\N	2010-05-23	Schizoporella	bryozoa.net/cheilostomata/schizoporellidae/schizoporella_gibsonensis.html	1	\N	SCHIZOPORELLIDAE
652	Schizoporella dunkeri	(Reuss, 1848)	250	1	\N	\N	2010-05-23	Schizoporella	bryozoa.net/cheilostomata/schizoporellidae/schizoporella_dunkeri.html	1	\N	SCHIZOPORELLIDAE
