SpeciesID	Current_name	Author	FAMCODE	Recent	Remarks	Date_created	Date_modified	html_page	first_name	OK	Status
1877	 was Calyptotheca triarmata	Hayward, 1974	282	1	=Schizomavella asymetrica		23/05/2010		was	0	
14669	 was Cardioecia faringdonensis=4139	Canu & Bassler, 1926	8	0	ZR1926		23/05/2010		was	0	
14670	 was Cardioecia pauper=4139	Canu & Bassler, 1926	8	0	ZR1926; Pitt & Taylor		23/05/2010		was	0	
12976	 was Castanopora aspera	(Lang, 1916)	206	0	as Rhiniopora; ZR1962, Larwood- now Castanopora magnifica		23/05/2010		was	0	
12977	 was Castanopora asperula	(Marsson, 1887)	206	0			23/05/2010		was	0	
12992	 was Castanopora guascoi-5090	(Ubaghs, 1865)	206	0	=bipunctata, Voigt 1979		23/05/2010		was	0	
12980	 was Castanopora horrida	(Lang, 1916)	206	0			23/05/2010		was	0	
12989	 was Castanopora jugans	Lang, 1916	206	0			23/05/2010		was	0	
12981	 was Castanopora scab bra	(Lang, 1916)	206	0			23/05/2010		was	0	
9834	 was Castanopora voigti	Larwood, 1962	206	0	ZR1962		23/05/2010		was	0	
8461	 was Catenicella continua=2368	Waters, 1891	294	0			23/05/2010		was	0	
14987	 was Cauloramphus triangularis	Canu & Bassler, 1923		0	ZR1923		23/05/2010		was	0	
4153	 was Cava dumetosa	(Michelin, 1846)	50	0	ZR1922 query not available really Lamouroux species		23/05/2010		was	0	
2262	 was Cellaria boninensis	Silén, 1941	178	1	ZR1938; ZR1942; = tenuirostris fide Hastings 1946		23/05/2010		was	0	
6127	 was Cellepora nodulosa&=1862	(Lorenz, 1886)	290	1			23/05/2010		was	0	
7820	 was Celleporaria (Sinuporaria) reussi=17759	Pouyet, 1973	230	0	ZR1973-140		23/05/2010		was	0	
11122	 was Celleporaria alata=4315	(Lagaaij, 1952)	230	0	ZR1952		23/05/2010		was	0	
14801	 was Celleporaria aviculifera&	(Canu & Bassler, 1923)	230	0	ZR1923		23/05/2010		was	0	
14646	 was Celleporaria diestensis	(Canu, 1925)	230	0	ZR1927; now C.palmata		23/05/2010		was	0	
2738	 was Celleporaria magnifica	(Osburn, 1914)	230	1			23/05/2010		was	0	
16080	 was Celleporina antiqua=9399	(Canu & Bassler, 1920)	290	0			23/05/2010		was	0	
2741	 was Celleporina ignota=1914	(Norman, 1909)	290	1			23/05/2010		was	0	
1852	 was Celleporina pilaefera=1555	(Canu & Bassler, 1929)	290	1			23/05/2010		was	0	
10855	 was Celleporina? kalksburgensis=8192	Bobies, 1956	290	0			23/05/2010		was	0	
15152	 was Cellulipora spissa	(Gregory, 1899)	15	0	now Plagioecia - 4131		23/05/2010		was	0	
12025	 was Ceramoporella triloba=13964	Cumings & Galloway, 1913	608	0	ZR1938		23/05/2010		was	0	
14843	 was Ceratopora monoceros=13151	(Reuss, 1848)	230	0			23/05/2010		was	0	
10321	 was Cervella cervoidea=6365	Chronic, 1949	501	0	ZR1958		23/05/2010		was	0	
4396	 was Chaperia condylata	Canu & Bassler, 1930	150	1			23/05/2010		was	0	
11829	 was Chaperia transversalis boninensis	Silén, 1941	150	1	ZR1942; status?		23/05/2010		was	0	
808	 was Chaperiopsis (Chaperiopsis) multifida	(Busk, 1884)	150	1			23/05/2010		was	0	
16680	 was Chaperiopsis furcata	(Busk, 1884)	150	1	see Hayward & Thorpe		23/05/2010		was	0	
13625	 was Chaperiopsis pyriformis	(Canu & Bassler, 1929)	150	1	ZR1929		23/05/2010		was	0	
1709	 was Characodoma' bassleri=944	(Calvet, 1931)	273	1	ZR1932		23/05/2010		was	0	
1690	 was Characodoma bifurcatum	(Waters, 1918)	273	1	ZR1918 as Lepralia, =C. mamillatum (Rosso)		23/05/2010		was	0	
3211	 was Characodoma' granulosum=3235	(Canu & Bassler, 1930)	273	1			23/05/2010		was	0	
11066	 was Chasmatopora fastigata=12898	(Toots, 1952)	502	0	ZR1952		23/05/2010		was	0	
19430	 was Chasmatopora halli=18189	(Ulrich, 1890)	502	0			23/05/2010		was	0	
2742	 was Cheiloporina caerulea	Canu & Bassler, 1929	241	1			23/05/2010		was	0	
202	 was Cheiloporina campanula	Hayward & Ryland, 1995	241	1	ZR1995/96-045		23/05/2010		was	0	
13629	 was Cheiloporina irregularis	Canu & Bassler, 1929	241	1	ZR1929		23/05/2010		was	0	
13630	 was Chorizopora ventricosa=127	Canu & Bassler, 1929	210	1	ZR1929		23/05/2010		was	0	
1021	 was Cinctipora			1			23/05/2010		was	0	
5713	 was Coelotubulipora interracana	(Trizna, 1958)	434	0	ZR1988/89-133 error for intervacara		23/05/2010		was	0	
2743	 was Coleopora tubulosa=17744	Canu & Bassler, 1924	308	1	ZR1926; David & Pouyet 1974		23/05/2010		was	0	
17886	 was Conescharellina brevigaleata	Lu, 1991	315	1	Not in ZR; Horowitz; lapsus for breviconica,		23/05/2010		was	0	
17066	 was Conopeum lacinosum=1276	Shier, 1964	142	1			23/05/2010		was	0	
799	 was Corbulella translucens	(Harmer, 1926)	148	1			23/05/2010		was	0	
10487	 was Corynoporella japonica=2784	Mawatari, 1957	192	1	ZR1957= Dendrobeania frigida		23/05/2010		was	0	
9152	 was Corynoporella spinosa=2788	Robertson, 1905	192	1			23/05/2010		was	0	
13827	 was Cosciniopsis fusca	Canu & Bassler, 1927	244	1	ZR1928		23/05/2010		was	0	
1035	 was Crassimarginatella (Crassimarginatella) fossa	Uttley, 1951	148	1			23/05/2010		was	0	
1808	 was Crassimarginatella cookae	Hayward, 1988	148	1	ZR1987/88-070		23/05/2010		was	0	
4395	 was Crassimarginatella leucocypha	Marcus, 1937	148	1			23/05/2010		was	0	
4416	 was Crassimarginatella sileni	Brown, 1952	148	0	=cucullata		23/05/2010		was	0	
12089	 was Crepidacantha levinseni=1831	Marcus, 1938	284	1	ZR1938		23/05/2010		was	0	
13242	 was Crepidacantha setifera=159	Canu & Bassler, 1929	284	1	ZR1930		23/05/2010		was	0	
13960	 was Crepipora incrassata=6731	Bassler, 1911	608	0			23/05/2010		was	0	
3221	 was Crepipora? sardoa=6733	Vinassa de Regny, 1942	608	0	ZR1948 now Vasalemmapora		23/05/2010		was	0	
13129	 was Cribellopora latigastra	(David, 1949)	251	0	dupl as Phonicosia		23/05/2010		was	0	
2067	 was Cribrilaria africana	Hayward & Cook, 1983	206	1	ZR1983-064		23/05/2010		was	0	
8047	 was Cribrilaria crenulata	Harmelin, 1970	206	1	ZR1970; =venust, ZR1978		23/05/2010		was	0	
2627	 was Cribrilaria fragilis=6056	see Powell, 1967?	206	1			23/05/2010		was	0	
1815	 was Cribrilaria harmeri	Ristedt, 1985	206	1	ZR1986-145		23/05/2010		was	0	
5609	Cribrilaria scripta	(Reuss, 1848)	206	1	ZR1988/89-036		23/05/2010		Cribrilaria	1	
13834	 was Cribrilina brachiata=13061	Levinsen, 1925	206	0	ZR1928, Horowitz		23/05/2010		was	0	
14636	 was Cribrilina parisiensis	Canu, 1926	206	0	ZR1927		23/05/2010		was	0	
2481	 was Cribrilina projecta=335	Waters, 1904	206	1			23/05/2010		was	0	
13833	 was Cribrilina valida=12975	Levinsen, 1925	206	0	ZR1928 Horowitz		23/05/2010		was	0	
10976	 was Cribrilina vas=851	(Brown, 1954)	206	0	ZR1954		23/05/2010		was	0	
16596	 was Crisia denticulata verdensis=758	Waters, 1918	1	1	ZR1918		23/05/2010		was	0	
16935	 was Crisia nigrijuncta	Ortmann, 1890		1			23/05/2010		was	0	
10916	 was Crisia smitti	Kluge, 1946	1	1	ZR1954		23/05/2010		was	0	
9173	 was Crisidia franciscana	(Robertson, 1910)	1	1	now Filicrisia		23/05/2010		was	0	
15946	 was Crisidmonea coronopus	(Canu & Bassler, 1922)	36	0	ZR1922, as Polyascosoecia		23/05/2010		was	0	
14284	 was Crisina lichenoides=4845	Goldfuss, 1826	36	0			23/05/2010		was	0	
15684	 was Crustopora irregularis=4792	(Nekhoroshev, 1956)	564	0	as Rhabdomeson; Astrova 1978		23/05/2010		was	0	
7694	 was Cuneatopora callosa=4795	Kopaevich, 1975	430	0	ZR1975-091		23/05/2010		was	0	
7695	 was Cuneatopora gracilis=4796	Kopaevich, 1975	430	0	ZR1975-091		23/05/2010		was	0	
12662	 was Cupuladria robertsoniae=3012	(Canu & Bassler, 1923)	152	1	ZR1923, ZR1931		23/05/2010		was	0	
