rank_name	unit_name1	unit_name2	unit_name3	parent_name	usage	taxon_author	accepted_name	unacceptability_reason	comments	details
Family	Astralochomidae			Trepostomatida Ulrich 1882	valid	Bock 1999				
Family	Atactotoechidae			Trepostomatida Ulrich 1882	valid	Bock 1999				
Family	Batostomellidae			Trepostomatida Ulrich 1882	valid	Bock 1999				
Family	Bimuroporidae			Trepostomatida Ulrich 1882	valid	Bock 1999				
Family	Crustoporidae			Trepostomatida Ulrich 1882	valid	Bock 1999				
Family	Cycloporidae			Trepostomatida Ulrich 1882	valid	Bock 1999				
Family	Dianulitidae			Trepostomatida Ulrich 1882	valid	Bock 1999				
Family	Diplotrypidae			Trepostomatida Ulrich 1882	valid	Bock 1999				
Family	Dittoporidae			Trepostomatida Ulrich 1882	valid	Bock 1999				
Family	Dyscritellidae			Trepostomatida Ulrich 1882	valid	Bock 1999				
Family	Eridotrypellidae			Trepostomatida Ulrich 1882	valid	Bock 1999				
Family	Esthonioporidae			Trepostomatida Ulrich 1882	valid	Bock 1999				
Family	Girtyporidae			Trepostomatida Ulrich 1882	valid	Bock 1999				
Family	Halloporidae			Trepostomatida Ulrich 1882	valid	Bock 1999				
Family	Helenoporidae			Trepostomatida Ulrich 1882	valid	Bock 1999				
Family	Hemieridotrypidae			Trepostomatida Ulrich 1882	valid	Bock 1999				
Family	Heterotrypidae			Trepostomatida Ulrich 1882	valid	Bock 1999				
Family	Leioclemidae			Trepostomatida Ulrich 1882	valid	Bock 1999				
Family	Maychellinidae			Trepostomatida Ulrich 1882	valid	Bock 1999				
Family	Mesotrypidae			Trepostomatida Ulrich 1882	valid	Bock 1999				
Family	Mishulgellidae			Trepostomatida Ulrich 1882	valid	Bock 1999				
Family	Monticuliporidae			Trepostomatida Ulrich 1882	valid	Bock 1999				
Family	Nipponostenoporidae			Trepostomatida Ulrich 1882	valid	Bock 1999				
Family	Orbiporidae			Trepostomatida Ulrich 1882	valid	Bock 1999				
Family	Pseudocampylidae			Trepostomatida Ulrich 1882	valid	Bock 1999				
Family	Ralfimartitidae			Trepostomatida Ulrich 1882	valid	Bock 1999				
Family	Revalotrypidae			Trepostomatida Ulrich 1882	valid	Bock 1999				
Family	Stenoporellidae			Trepostomatida Ulrich 1882	valid	Bock 1999				
Family	Stenoporidae			Trepostomatida Ulrich 1882	valid	Bock 1999				
Family	Stereotoechidae			Trepostomatida Ulrich 1882	valid	Bock 1999				
Family	Trematoporidae			Trepostomatida Ulrich 1882	valid	Bock 1999				
Family	Ulrichotrypellidae			Trepostomatida Ulrich 1882	valid	Bock 1999				
Family	Zozariellidae			Trepostomatida Ulrich 1882	valid	Bock 1999				
Family	Acanthocladiidae			Fenestrida Elias & Condra 1957	valid	Bock 1999				
Family	Admiratellidae			Fenestrida Elias & Condra 1957	valid	Bock 1999				
Family	Carnocladiidae			Fenestrida Elias & Condra 1957	valid	Bock 1999				
Family	Chainodictyonidae			Fenestrida Elias & Condra 1957	valid	Bock 1999				
Family	Enalloporidae			Fenestrida Elias & Condra 1957	valid	Bock 1999				
Family	Fenestellidae			Fenestrida Elias & Condra 1957	valid	Bock 1999				
Family	Fenestraliidae			Fenestrida Elias & Condra 1957	valid	Bock 1999				
Family	Fenestraporidae			Fenestrida Elias & Condra 1957	valid	Bock 1999				
Family	Phylloporinidae			Fenestrida Elias & Condra 1957	valid	Bock 1999				
Family	Polyporidae			Fenestrida Elias & Condra 1957	valid	Bock 1999				
Family	Ralfinidae			Fenestrida Elias & Condra 1957	valid	Bock 1999				
Family	Sardesoninidae			Fenestrida Elias & Condra 1957	valid	Bock 1999				
Family	Semicosciniidae			Fenestrida Elias & Condra 1957	valid	Bock 1999				
Family	Septatoporidae			Fenestrida Elias & Condra 1957	valid	Bock 1999				
Family	Septoporidae			Fenestrida Elias & Condra 1957	valid	Bock 1999				
Family	Ptilodictyidae			Ptilodictyina Astrova & Morozova 1956	valid	Bock 1999				
Family	Escharoporidae			Ptilodictyina Astrova & Morozova 1956	valid	Bock 1999				
Family	Intraporidae			Ptilodictyina Astrova & Morozova 1956	valid	Bock 1999				
Family	Phragmopheridae			Ptilodictyina Astrova & Morozova 1956	valid	Bock 1999				
Family	Rhinidictyidae			Ptilodictyina Astrova & Morozova 1956	valid	Bock 1999				
Family	Stictoporellidae			Ptilodictyina Astrova & Morozova 1956	valid	Bock 1999				
Family	Virgatellidae			Ptilodictyina Astrova & Morozova 1956	valid	Bock 1999				
Family	Phaenoporidae			Ptilodictyina Astrova & Morozova 1956	valid	Bock 1999				
Family	Worthenoporidae			Ptilodictyina Astrova & Morozova 1956	valid	Bock 1999				
Family	Arthrostylidae			Rhabdomesina Astrova & Morozova 1956	valid	Bock 1999				
Family	Rhabdomesidae			Rhabdomesina Astrova & Morozova 1956	valid	Bock 1999				
Family	Rhomboporidae			Rhabdomesina Astrova & Morozova 1956	valid	Bock 1999				
Family	Bactroporidae			Rhabdomesina Astrova & Morozova 1956	valid	Bock 1999				
Family	Nikiforovellidae			Rhabdomesina Astrova & Morozova 1956	valid	Bock 1999				
Family	Pseudoascoporidae			Rhabdomesina Astrova & Morozova 1956	valid	Bock 1999				
Family	Hyphasmoporidae			Rhabdomesina Astrova & Morozova 1956	valid	Bock 1999				
Family	Streblascoporidae			Rhabdomesina Astrova & Morozova 1956	valid	Bock 1999				
Family	Timanodictyidae			Timanodictyina Morozova 1966	valid	Bock 1999				
Family	Murengoloclemidae			Timanodictyina Morozova 1966	valid	Bock 1999				
Family	Goldfussitrypidae			Goldfussitrypina Gorjunova 1985	valid	Bock 1999				
Family	Maychellidae			Goldfussitrypina Gorjunova 1985	valid	Bock 1999				
Family	Mediaporidae			Goldfussitrypina Gorjunova 1985	valid	Bock 1999				
Family	Nicklesoporidae			Goldfussitrypina Gorjunova 1985	valid	Bock 1999				
Family	Nudymiellidae			Strebolotrypina Gorjunova 1985	valid	Bock 1999				
Family	Nematoporidae			Strebolotrypina Gorjunova 1985	valid	Bock 1999				
Family	Nematotrypidae			Strebolotrypina Gorjunova 1985	valid	Bock 1999				
Family	Ceramoporidae			Ceramoporina Bassler 1913	valid	Bock 1999				
Family	Acanthoceramoporellidae			Ceramoporina Bassler 1913	valid	Bock 1999				
Family	Rhinoporidae			Ceramoporina Bassler 1913	valid	Bock 1999				
Family	Anolotichiidae			Fistuliporina Astrova 1964	valid	Bock 1999				
Family	Xenotrypidae			Fistuliporina Astrova 1964	valid	Bock 1999				
Family	Constellariidae			Fistuliporina Astrova 1964	valid	Bock 1999				
Family	Fistuliporidae			Fistuliporina Astrova 1964	valid	Bock 1999				
Family	Botrylloporidae			Fistuliporina Astrova 1964	valid	Bock 1999				
Family	Actinotrypidae			Fistuliporina Astrova 1964	valid	Bock 1999				
Family	Hexagonellidae			Fistuliporina Astrova 1964	valid	Bock 1999				
Family	Cystodictyonidae			Fistuliporina Astrova 1964	valid	Bock 1999				
Family	Etherellidae			Fistuliporina Astrova 1964	valid	Bock 1999				
Family	Goniocladiidae			Fistuliporina Astrova 1964	valid	Bock 1999				
Family	Annectocymidae			Tubuliporina Milne-Edwards 1838	valid	Hayward & Ryland 1985				
Family	Canaliporidae			Cancellata Gregory 1896	valid	Brood 1972				
Family	Cavidae			Cerioporina von Hagenow 1851	valid	d'Orbigny 1854				
Family	Celluliporidae			Tubuliporina Milne-Edwards 1838	valid	Buge & Voigt 1972				
Family	Cerioporidae			Cerioporina von Hagenow 1851	valid	Reuss 1866				
Family	Cinctiporidae			Tubuliporina Milne-Edwards 1838	valid	Boardman, Taylor & McKinney 1992				
Family	Clausidae			Cerioporina von Hagenow 1851	valid	d'Orbigny 1854				
Family	Corymboporidae			Cerioporina von Hagenow 1851	valid	Smitt 1866				
Family	Corynotrypidae			Paleotubuliporina Brood 1976	valid	Dzik 1981				
Family	Crassodiscoporidae			Cancellata Gregory 1896	valid	Brood 1972				
Family	Crisiidae			Articulina Busk 1859	valid	Johnston 1838				
Family	Crisinidae			Cancellata Gregory 1896	valid	d'Orbigny 1853				
Family	Crisuliporidae			Tubuliporina Milne-Edwards 1838	valid	Buge 1979				
Family	Crownoporidae			Paleotubuliporina Brood 1976	valid	Ross 1967				
Family	Cytididae			Cancellata Gregory 1896	valid	d'Orbigny 1854				
Family	Densiporidae			Cerioporina von Hagenow 1851	valid	Borg 1944				
Family	Diaperoeciidae			Tubuliporina Milne-Edwards 1838	valid	Canu 1918				
Family	Diastoporidae			Tubuliporina Milne-Edwards 1838	valid	Gregory 1899				
Family	Eleidae			Tubuliporina Milne-Edwards 1838	valid	d'Orbigny 1852				
Family	Entalophoridae			Tubuliporina Milne-Edwards 1838	valid	Reuss 1869				
Family	Filisparsidae			Tubuliporina Milne-Edwards 1838	valid	Borg 1944				
Family	Frondiporidae			Tubuliporina Milne-Edwards 1838	valid	Busk 1875				
Family	Hastingsiidae			Tubuliporina Milne-Edwards 1838	valid	Borg 1944				
Family	Heteroporidae			Cerioporina von Hagenow 1851	valid	Waters 1880				
Family	Horneridae			Cancellata Gregory 1896	valid	Smitt 1867				
Family	Idmoneidae			Tubuliporina Milne-Edwards 1838	valid	Busk 1859				
Family	Leiosoeciidae			Cerioporina von Hagenow 1851	valid	Canu & Bassler 1920				
Family	Lichenoporidae			Rectangulata Waters 1887	valid	Smitt 1867				
Family	Lobosoeciidae			Tubuliporina Milne-Edwards 1838	valid	Canu & Bassler 1922				
Family	Mecynoeciidae			Tubuliporina Milne-Edwards 1838	valid	Canu 1918				
Family	Multisparsidae			Tubuliporina Milne-Edwards 1838	valid	Bassler 1935				
Family	Oncousoeciidae			Tubuliporina Milne-Edwards 1838	valid	Canu 1918				
Family	Petaloporidae			Cancellata Gregory 1896	valid	Gregory 1899				
Family	Pseudidmoneidae			Cancellata Gregory 1896	valid	Borg 1944				
Family	Pseudocerioporidae			Cerioporina von Hagenow 1851	valid	Brood 1972				
Family	Pustuloporidae			Tubuliporina Milne-Edwards 1838	valid	Smitt 1872				
Family	Sagenellidae			Paleotubuliporina Brood 1976	valid	Brood 1975				
Family	Semiceidae			Tubuliporina Milne-Edwards 1838	valid	Buge 1952				
Family	Siphoniotyphlidae			Tubuliporina Milne-Edwards 1838	valid	Voigt 1967				
Family	Spiroporidae			Tubuliporina Milne-Edwards 1838	valid	Voigt 1968				
Family	Stigmatoechidae			Cancellata Gregory 1896	valid	Brood 1972				
Family	Stomatoporidae			Tubuliporina Milne-Edwards 1838	valid	Pergens & Meunier 1886				
Family	Terviidae			Tubuliporina Milne-Edwards 1838	valid	Canu & Bassler 1920				
Family	Theonoidae			Tubuliporina Milne-Edwards 1838	valid	Busk 1859				
Family	Tubuliporidae			Tubuliporina Milne-Edwards 1838	valid	Johnston 1838				
Family	Aethozoontidae			Victorelloidea Jebram 1973	valid	d'Hondt 1983				
Family	Aeverrilliidae			Aeverrillioidea d'Hondt 1983	valid	Jebram 1973				
Family	Alcyonidiidae			Alcyonidoidea Johnston 1847	valid	Johnston 1838				
Family	Arachnidiidae			Arachnidioidea Jebram 1973	valid	Hincks 1880				
Family	Ascodictyidae			x_Ctenostomata_fam	valid	Miller 1889				
Family	Bathyalozoontidae			Vesicularioidea Johnston 1847	valid	d'Hondt 1975				
Family	Benedeniporidae			Benedeniporoidea Jebram 1973	valid	Delage & Herouard 1897				
Family	Buskiidae			Vesicularioidea Johnston 1847	valid	Hincks 1880				
Family	Clavoporidae			Alcyonidoidea Johnston 1847	valid	Osburn & Soule 1953				
Family	Cookobryozoonidae			Terebriporoidea d'Hondt 1977	valid	Pohowsky 1978				
Family	Farrellidae			Aeverrillioidea d'Hondt 1983	valid	d'Hondt 1983				
Family	Flustrellidridae			Flustrellidroidea Bassler 1953	valid	Bassler 1953				
Family	Harmeriellidae			Valkerioidea Silén 1942	valid	d'Hondt 1983				
Family	Haywardozoontidae			Haywardozoonoidea d'Hondt 1983	valid	d'Hondt 1983				
Family	Hislopiidae			Hislopioidea Jebram 1973	valid	Jullien 1885				
Family	Hypophorellidae			Valkerioidea Silén 1942	valid	Prenant & Bobin 1956				
Family	Immergentiidae			Victorelloidea Jebram 1973	valid	Silén 1946				
Family	Labiostomellidae			Benedeniporoidea Jebram 1973	valid	Silén 1942				
Family	Mimosellidae			Valkerioidea Silén 1942	valid	Hincks 1877				
Family	Monobryozoontidae			Alcyonidoidea Johnston 1847	valid	Remane 1936				
Family	Nolellidae			Victorelloidea Jebram 1973	valid	Harmer 1915				
