rank_name	unit_name1	unit_name2	unit_name3	parent_name	usage
Superfamily	Microporoidea			Neocheilostomina	valid
Superfamily	Pseudolepralioidea			Ascophorina	valid
Superfamily	Schizoporelloidea			Ascophorina	valid
Superfamily	Scorioporoidea			Ascophorina	valid
Superfamily	Scruparioidea			Scrupariina	valid
Superfamily	Siphonicytaroidea			Ascophorina	valid
Superfamily	Smittinoidea			Ascophorina	valid
Superfamily	Urceoliporoidea			Ascophorina	valid
Superfamily	Batoporoidea			Ascophorina	valid
Family	Actisecidae			Schizoporelloidea	valid
Family	Adeonellidae			Adeonoidea	valid
Family	Adeonidae			Adeonoidea	valid
Family	Aeteidae			Aeteoidea	valid
Family	Alysidiidae			Microporoidea	valid
Family	Antroporidae			Calloporoidea	valid
Family	Arachnopusiidae			Arachnopusioidea	valid
Family	Ascosiidae			Mamilloporoidea	valid
Family	Aspidostomatidae			Microporoidea	valid
Family	Batoporidae			Batoporoidea	valid
Family	Beaniidae			Buguloidea	valid
Family	Belluloporidae			Cribrilinoidea	valid
Family	Bicorniferidae			Neocheilostomina	valid
Family	Bifaxariidae			Bifaxarioidea	valid
Family	Bitectiporidae			Smittinoidea	valid
Family	Brydonellidae			Pseudolepralioidea	valid
Family	Bryobaculidae			Schizoporelloidea	valid
Family	Bryocryptellidae			Lepralielloidea	valid
Family	Bryopastoridae			Calloporoidea	valid
Family	Buffonellodidae			Schizoporelloidea	valid
Family	Bugulidae			Buguloidea	valid
Family	Calescharidae			Microporoidea	valid
Family	Calloporidae			Calloporoidea	valid
Family	Calwelliidae			Schizoporelloidea	valid
Family	Candidae			Buguloidea	valid
Family	Catenicellidae			Catenicelloidea	valid
Family	Cellariidae			Cellarioidea	valid
Family	Celleporidae			Celleporoidea	valid
Family	Chaperiidae			Calloporoidea	valid
Family	Cheilhorneropsidae			Ascophorina	valid
Family	Cheiloporinidae			Schizoporelloidea	valid
Family	Chlidoniidae			Microporoidea	valid
Family	Chlidoniopsidae			Lepralielloidea	valid
Family	Chorizoporidae			Hippothooidea	valid
Family	Cleidochasmatidae			Mamilloporoidea	valid
Family	Colatooeciidae			Celleporoidea	valid
Family	Concatenellidae			Catenicelloidea	valid
Family	Conescharellinidae			Batoporoidea	valid
Family	Corynostylidae			Membraniporoidea	valid
Family	Coscinopleuridae			Cellarioidea	valid
Family	Crepidacanthidae			Mamilloporoidea	valid
Family	Cribrilinidae			Cribrilinoidea	valid
Family	Cryptosulidae			Schizoporelloidea	valid
Family	Cupuladriidae			Calloporoidea	valid
Family	Cuvillieridae			Batoporoidea	valid
Family	Cyclicoporidae			Schizoporelloidea	valid
Family	Dhondtiscidae			Lepralielloidea	valid
Family	Didymosellidae			Didymoselloidea	valid
Family	Doryporellidae			Calloporoidea	valid
Family	Duvergieriidae			Schizoporelloidea	valid
Family	Dysnoetoporidae			Dysnoetoporoidea	valid
Family	Echinovadomidae			Schizoporelloidea	valid
Family	Electridae			Membraniporoidea	valid
Family	Eminooeciidae			Schizoporelloidea	valid
Family	Epistomiidae			Buguloidea	valid
Family	Escharinidae			Schizoporelloidea	valid
Family	Eucrateidae			Scruparioidea	valid
Family	Euoplozoidae			Buguloidea	valid
Family	Eurystomellidae			Catenicelloidea	valid
Family	Euthyroididae			Cribrilinoidea	valid
Family	Exechonellidae			Arachnopusioidea	valid
Family	Farciminariidae			Calloporoidea	valid
Family	Flustridae			Flustroidea	valid
Family	Foveolariidae			Calloporoidea	valid
Family	Fusicellariidae			Neocheilostomina	valid
Family	Gigantoporidae			Schizoporelloidea	valid
Family	Haplopomidae			Hippothooidea	valid
Family	Heliodomidae			Calloporoidea	valid
Family	Hiantoporidae			Calloporoidea	valid
