Rank ID	Class	Order	Suborder	Infraorder	Superfamily	Family	Genus
20 3	stenolaemata
20 1	gymnolaemata
20 2	phylactolaemata
20 4	NULL
20 5	NULL
20 6	NULL
20 7	NULL
20 8	NULL
20 9	NULL
20 10	NULL
20 11	NULL
20 12	NULL
20 13	NULL
20 14	NULL
20 15	NULL
20 16	NULL
30 4	stenolaemata	cyclostomata
30 7	stenolaemata	hederellida
30 2	stenolaemata	cryptostomida
30 5	stenolaemata	cystoporida
30 9	stenolaemata	trepostomatida
30 6	stenolaemata	fenestrida
30 3	gymnolaemata	ctenostomata
30 1	gymnolaemata	cheilostomata
30 8	phylactolaemata	plumatellida
30 10	NULL	NULL
30 11	NULL	NULL
30 12	NULL	NULL
30 13	NULL	NULL
30 14	NULL	NULL
30 15	NULL	NULL
30 16	NULL	NULL
30 17	NULL	NULL
30 18	NULL	NULL
30 19	NULL	NULL
30 20	NULL	NULL
30 21	NULL	NULL
30 22	NULL	NULL
50 166	stenolaemata	cryptostomida	strebolotrypina	NULL
50 167	stenolaemata	cryptostomida	strebolotrypina	NULL
50 168	stenolaemata	cyclostomata	uncertain	uncertain
50 169	gymnolaemata	ctenostomata	uncertain	uncertain
50 170	gymnolaemata	cheilostomata	uncertain	uncertain
50 171	NULL	NULL	NULL	NULL
50 172	NULL	NULL	NULL	NULL
50 173	NULL	NULL	NULL	NULL
50 174	NULL	NULL	NULL	NULL
50 175	phylactolaemata	plumatellida	NULL	NULL
50 176	NULL	NULL	NULL	NULL
50 177	phylactolaemata	plumatellida	NULL	NULL
50 178	NULL	NULL	NULL	NULL
50 179	stenolaemata	cryptostomida	NULL	NULL
50 180	NULL	NULL	NULL	NULL
50 181	NULL	NULL	NULL	NULL
50 182	NULL	NULL	NULL	NULL
50 183	stenolaemata	cryptostomida	NULL	NULL
50 184	phylactolaemata	plumatellida	NULL	NULL
50 185	phylactolaemata	plumatellida	NULL	NULL
50 186	NULL	NULL	NULL	NULL
50 187	phylactolaemata	plumatellida	NULL	NULL
50 188	NULL	NULL	NULL	NULL
50 189	NULL	NULL	NULL	NULL
50 190	phylactolaemata	plumatellida	NULL	NULL
50 191	NULL	NULL	NULL	NULL
50 192	stenolaemata	cryptostomida	NULL	NULL
70 3	gymnolaemata	ctenostomata	stoloniferina	NULL	aeverrillioidea
70 4	gymnolaemata	ctenostomata	alcyonidiina	NULL	alcyonidoidea
70 5	gymnolaemata	ctenostomata	stoloniferina	NULL	arachnidioidea
70 7	gymnolaemata	ctenostomata	protoctenostamata	NULL	benedeniporoidea
70 19	gymnolaemata	ctenostomata	flustrellidrina	NULL	flustrellidroidea
70 21	gymnolaemata	ctenostomata	flustrellidrina	NULL	haywardozoonoidea
70 23	gymnolaemata	ctenostomata	stoloniferina	NULL	hislopioidea
70 28	gymnolaemata	ctenostomata	paludicellina	NULL	paludicelloidea
70 29	gymnolaemata	ctenostomata	stoloniferina	NULL	penetrantiina
70 36	gymnolaemata	ctenostomata	stoloniferina	NULL	terebriporoidea
70 37	gymnolaemata	ctenostomata	stoloniferina	NULL	triticelloidea
70 38	gymnolaemata	ctenostomata	uncertain	NULL	uncertain
70 46	gymnolaemata	ctenostomata	stoloniferina	NULL	valkerioidea
70 47	gymnolaemata	ctenostomata	vesicularina	NULL	vesicularioidea
70 48	gymnolaemata	ctenostomata	victorellina	NULL	victorelloidea
70 1	gymnolaemata	cheilostomata	neocheilostomina	ascophorina	adeonoidea
70 2	gymnolaemata	cheilostomata	inovicellina	NULL	aeteoidea
70 6	gymnolaemata	cheilostomata	neocheilostomina	ascophorina	arachnopusioidea
70 8	gymnolaemata	cheilostomata	neocheilostomina	ascophorina	bifaxarioidea
70 9	gymnolaemata	cheilostomata	neocheilostomina	flustrina	buguloidea
70 10	gymnolaemata	cheilostomata	neocheilostomina	flustrina	calloporoidea
70 11	gymnolaemata	cheilostomata	neocheilostomina	ascophorina	catenicelloidea
70 12	gymnolaemata	cheilostomata	neocheilostomina	flustrina	cellarioidea
