# ID
#   Unknown id number
# NUMBER
#   Unknown number
ID	AUTHOR	YEAR	TEXT	TITLE	NUMBER	PAGES
1054	T. V. Romanchuk	1975	First finds of Carboniferous bryozoans in the Tugur-Chumikan district of the Khabarovsk territory [in Russian]	Paleontologicheskii Zhurnal	1975	69-78
1055	G. V. Kopaevich	1972	Polymorphism in the family Ptilodictyidae (Bryozoa) [In Russian]	Paleontologicheskii Zhurnal	1972	57-63
1056	F. D. Mordukhai-Boltovskoi	1970	On the Caspian fauna in the Black Sea (beyond the limits of freshened regions). [in Russian]	Gidrobiol. Zh.	6	20-25
1057	L. A. Viskova	1968	New bryozoans of the suborder Salpingina  [in Russian]	Paleontologicheskii Zhurnal	1968	32-41
1058	S. F. Harmer	1957	The Polyzoa of the Siboga Expedition, Part 4. Cheilostomata Ascophora II	Siboga Expedition Reports	28d	641-1147
1059	T. Hincks	1887	The Polyzoa of the Adriatic, II	Annals and Magazine of Natural History	19	302-316
1060	T. Hincks	1886	The Polyzoa of the Adriatic, I	Annals and Magazine of Natural History	17	254-271
1061	A. H. Hassall	1842	Remarks on the genus Lepralia of Dr. Johnston with descriptions of six undescribed species	Annals and Magazine of Natural History	9	407-414
1062	G. Johnston	1840	Description of a new genus of British Zoophyte	Annals and Magazine of Natural History	5	272-274
1063	S. O. Ridley	1881	Account of the zoological collections made during the survey of H.M.S. Alert in the straits of Magellan and on the coast of Patagonia	Proceedings of the Zoological Society of London	1881	44-61
1064	R. V. Gorjunova, A. V. Markov and E. B. Naimark	1994	Stages of evolutionary development in trepostomid perlworts [in Russian]	Zhurnal Obshchei Biologii	55	489-508
1065	J. Levinton	1991	Bryozoan morphological and genetic correspondence: what does it prove?	Science	251	318-319
1066	H. Kluge	1908	Zur Kenntnis der Bryozoen von West Grönland	Annual Report of Zoological Museum Academy of Sciences, St Petersburg	12	546-554
1067	J. Alder	1857	Notice of several new species of Hydrozoa and Polyzoa	Quart. J. Micros. Sci.	5	24-26
1068	A. Barbaro and A. Francescon	1976	Gradienti ecologici riflessi nella composizione del fouling nella Laguna Veneta settentrionale	Archivio di oceanografia e limnologia	18	195-216
1069	J. A. Allan and J. O. G. Sanderson	1945	Geology of the Red Deer and Rosebud Sheets, Alberta	Alberta Research Council Report	13	109
1070	Y. V. Gautier	1962	Recherches écologiques sur les Bryozoaires chilostomes en Mediterranée occidentale	Recueil des travaux de la Station marine d'Endoume	38	1-434
1071	D. A. Brown	1958	Fossil cheilostomatous Polyzoa from south-west Victoria	Memoirs of the Geological Survey of Victoria	10	1-90
1072	T. Bartolomaeus and P. Grobe	2001	Towards a phylogenetic system of the Bryozoa	Zoology (Jena)	103	99
1073	H. G. Lindenberg	1965	Problematica aus dem inner-alpinen Tertiär Pseudarcella Spandel, emend. und Bicornifera n.g.	Neues Jahrbuch für Geologie und Paläontologie Monatshefte	1965	18-29
1074	R. J. Cuffey and W. B. Hall	1985	Species-level bryozoan assemblages within the Lower Permian Wreford Megacycloyhem of Kansas, Oklahoma and Nebraska	Neuvieme Congres Internationale de Stratigraphie et de Geologie du Carbonifere, Compte Rendu	5	256-260
1075	S. F. Mawatari, D. P. Gordon and H. Kajihara	2001	Undescribed species of Japanese and New Zealand Eurystomellidae (Phylum Bryozoa) and their phylogenetic relationships	Zoological Science	18 (supplement)	43
1076	T. Ishii and K. Miura	2000	Study on sexual reproduction of freshwater bryozoan, Lophopodella carteri in Lake Hachiro	Zoological Science	17 (supplement)	45
1077	T. Iseto	2000	Interspecific variations in morphological and behavioral characteristics of newly liberated buds of solitary entoprocts	Zoological Science	17 (supplement)	40
1078	J. Kaselowsky, N. Kadagies, G. Gerdes and J. Scholz	2003	Bryozoans and their associated biofilms from coastal waters of Japan and New Zealand	Terra Nostra	39144	118-119
1079	M. I. Schulga-Nesterenko	1960	Bryozoa [in Russian]	Trudy Sibiriskii nauchno-issledovatel. Institut geologii, geofisiki i mineralnogo surv? ...SSSR	19	362,393-400
1080	M. I. Schulga-Nesterenko	1960	General characters of the the Bryozoa of the Upper Ordovician of the Altai Mountains [in Russian]	Trudy Sibirskogo nauchno-isledovatelskogo instituta geologii, geofiziki i mineralnogo syrya (SNIIGGIMS)	8	84-85
1081	P. N. Ganapati and K. Satyanarayana Rao	1968	Fouling bryozoans in Visakhaptnam Harbour	Curr. Sci.	37	81-83
1082	P. Brunel	1970	Catalogue d’invertébrés benthiques du golfe Saint-Laurent recueillis de 1951 à 1966 par la station de biologie marine de Grande-riviere	Trav. Péch. Queb.	32	1-54
1083	J. S. Bullivant	1969	Bathhouse Beach assemblage	Bulletin of the Southern California Academy of Science	68	86-95
1084	J. S. Bullivant	1968	A revised classification of suspension feeders	Tuatara	16	151-160
1085	S. Mawatari	1951	The natural history of a common fouling bryozoan, Bugula neritina (Linn.)	Miscellaneous Reports of the Research Institute for Natural Resources, Tokyo	19-21	47-54
1086	N. R. Wall, R. M. Mohammad, K. B. Reddy and A. Al-Katib	2000	Bryostatin-1 induces ubiquitination and proteasome degradation of Bcl-2 in the human acute lymphoblastic leukemia cell line	International Journal of Molecular Medicine	5	167-171
1087	E. A. Modzalevskaya	1961	Bryozoa ... Ordovician. [in Russian]	Inform Sb VSEGEI	47	51-74
1088	E. A. Modzalevskaya	1953	Trepostomata of the Ordovician of the Baltic region and their stratigraphic significance [in Russian]	Sborn VNIGRI (Trudy Vsesojuznogo Nauchnoissledovatelskogo Geologo-Razvedochnogo Instituta VNIGRI )	78	91-167
1089	E. A. Modzalevskaya	1955	Colonies of Ordovician bryozoans and the dependence of their forms on habitat conditions [in Russian]	Vopr Paleontol	2	125-135
1090	E. A. Modzalevskaya	1960	New ... trepostome  [in Russian]	New species of fossil plants and invertebrates of the USSR	1	260-263
1091	R. V. Gorjunova	1994	On the taxonomic rank and phylogeny of timanodictyoid bryozoans [in Russian]	Paleontologicheskii Zhurnal	1994	44-58
1092	M. Faura y Sans and F. Canu	1916	Sur les Bryozoaires des terrains tertiaires de la Catalogne	Treballs de l'Institucio Catalana d'Historia Natural Barcelona.	2	69-193
1093	G. Dollfus and F. Canu	1900	Contribution à la Géologie de Romarantin. I. Stratigraphie, by G.Dollfus, II. Paléontologie, by F.Canu	Bulletin de la Societé géologique de France	(3) 28	93-104
1094	E. Pergens	1893	Bryozoaires du Sénonien de Sainte-Paterne, de Lavardin, et de la Ribochère	Bulletin de la Société Belge de Géologie	6	200-217
1095	F. Canu and R. S. Bassler	1918	Bryozoa of the Canal Zone and related areas	Bulletin of the United States National Museum	103	117-122
1096	F. Canu and R. S. Bassler	1927	Classification of the cheilostomatous Bryozoa	Proceedings of the United States national museum	69	1-42
1097	R. S. Bassler	1906	A study of the James types of Ordovician and Silurian Bryozoa	United States National Museum Proceedings	30	1-66
1098	E. Pergens	1895	Les Bryozoaires du Sénonien de la carrière de l'Arche de Lè, près Chartres	Bulletin de la Société Belge de Géologie	8	131-140
1099	E. Pergens	1888	Sur l'âge de la partie supérieure du tufeau de Ciply	Bulletin de la Société‚ Belge de Géologie	1	204-207
1100	S. J. Procházka	1894	Miocén kralicky u Námeste na Morave	Vestnik Královské Ceské Spolecnosti Nauk, Tø math-pøirodovid	6	1-84
1101	G. H. Kirchenpauer	1869	Neue Bryozoen	Museum Godeffroy Catalog	IV	118-119
1102	V. I. Pushkin	1981	[in Russian] A review of the genus Calloporella	Paleontologicheskii Zhurnal	1981	67-75
1103	F. Stoliczka	1872	The Cretaceous fauna of southern India. The Ciliopoda	Palaeontologia Indica	4	1-34
1104	J. R. P. Ross	1984	Paleoecology of Ordovician Bryozoa	Paleontological Contributions from the University of Oslo	295	137-144
1105	E. Voigt	1924	Beiträge zur Kenntnis der Bryozoenfauna der subherzynen Kreidemulde	Paläontologische Zeitschrift	6	191-247
1106	R. S. Bassler	1911	Bryozoa [Middle Devonian, Wisconsin]	Wis Geol Survey Bull	21	49-67
1107	F. Canu and R. S. Bassler	1925	Les Bryozoaires du Maroc et de Mauritanie, 1e Mémoire	Mémoires de la Société des Sciences Naturelles du Maroc	10	1-79
1108	R. C. Osburn	1947	Bryozoa of the Allan Hancock Atlantic Expedition, 1939	Report of the Allan Hancock Atlantic Expedition	5	1-47
1109	E. J. Allen	1899	On the fauna and bottom deposits near the thirty fathom line from the Eddystone Grounds to Start Point	Journal of the Marine Biological Association of the United Kingdom	5	365-542
1110	F. Chapman	1941	Report on foraminiferal soundings and dredgings of the F.I.S. 'Endeavour' along the continental shelf of the south-east coast of Australia	Transactions of the Royal Society of South Africa	65	145-211
1111	B. Walter	1968	Revison de quelques types de bryozoaires jurassiques de la collection d'Orbigny	Annales de Paléontologie (Invetébrès)	54	3-13
1112	H. E. Sauvage	1888	Note sur les Bryozoaires jurassiques de Boulogne	Bulletin de la Societé géologique de France	(3) 17	38-53
1113	F. Canu	1913	Contributions a l'etude des Bryozoaires fossils. Bryozoaires jurassiques	Bulletin de la Societé géologique de France	13	267-276
1114	O. Terquem and E. Piette	1865	Le Lias inferieur de l'Est de la France	Mémoires de la Société Géologique de France	(2) 8	1-175
1115	M. Orieux	1939	Etude de quelques Bryozoaries jurassiques	Annales de Paléontologie	28	1-24
1116	O. Terquem and E. Jourdy	1869	Monographie de l'etage Bathonien dans le departement de la Moselle	Mémoires de la Société Géologique de France	(2) 9	1-175
1117	E. Voigt	1989	Beitrag zur Bryozoen-Fauna des sachsischen Cenomaniums. Revision von A.E.Reuss 'Die Bryozoen des unteren Quaders' in H.B.Geinitz 'Das Elbthalgebirge in Sachsen' (1872). Teil I: Cheilostomata	Abhandlungen des Staatlichen Museums für Mineralogie und Geologie zu Dresden	36	8-87,189-208
1118	F. Canu	1931	Bryozoaires In Types du Prodrome de Paleontologie de Alcide d'Orbigny	Annales de Paléontologie	20	136-141
1119	E. O. Ulrich and R. S. Bassler	1904	A revision of Palaeozoic Bryozoa	Smithsonian miscellaneous collections	45	256-294
1120	P. Cotillon and B. Walter	1965	Essai petrogenetique et paleoecologique sur un niveaude calcaires bioclastiques dans le Cretace inferieur des Basses-Alpes et du Var. Etude systematique de ses Bryozoaires	Bulletin de la Societé géologique de France	(7) 7	929-936
1121	G. R. Vine	1881	Further notes on the family Diastoporidae Busk.  Species from the Lias and oolite	Quarterly journal of the geological society (London)	37	381-390
1122	E. Buge and J.-C. Fischer	1971	Atractosoecia incrustans (d'Orbigny) (Bryozoa Cyclostomata) espece bathonienne symbiotique d'un Pagure	Bulletin de la Societé géologique de France	(7) 12	126-133
1123	H. Credner	1864	De Pteroceras-Schichten (Apporais-Schichten) der Umbebung von Hannover	Zeitschrift der Deutsche geologischen Gesellschaft	16	196-248
1124	F. Canu	1911	Bryozoaires In Types du Prodrome de Paleontologie de Alcide d'Orbigny	Annales de Paléontologie	6	67
1125	L. J. Pitt and H. D. Thomas	1969	The Polyzoa of some British Jurassic clays	Bulletin of the British Museum (Natural History) (Geology)	18	31-38
1126	F. Canu and G. Lecointre	1934	Les Bryozoaires cyclostomes des Faluns de Touraine et d'Anjou	Mémoires de la Société Géologique de France, n.s.	t.8	179-219
1127	F. Canu and G. Lecointre	1933	Les Bryozoaires cyclostomes des Faluns de Touraine et d'Anjou	Mémoires de la Société Géologique de France, n.s.	t.8	131-178
1128	F. Canu	1897	Bryozoaires du Cénomanien de St. Calais (Sarthe)	Bulletin de la Societé géologique de France	25	737-754
1129	F. Canu and G. Lecointre	1930	Les Bryozoaires cheilostomes des Faluns de Touraine et d'Anjou	Mémoires de la Société Géologique de France, n.s.	4	83-130
1130	F. Canu	1914	Les bryozoaires fossiles des terrains du Sud-Ouest de la France. VIII. Rupélien de Gaas	Bulletin de la Societé géologique de France	14	465-474
1131	F. Canu and G. Lecointre	1928	Les Bryozoaires cheilostomes des Faluns de Touraine et d'Anjou	Mémoires de la Société Géologique de France, n.s.	4	51-82
1132	C. A. Bobies	1957	Bryozoenstudien. I. Die Bryozoen des österreichischen Sarmats	Jahrb Geol Bund, Wien	100	81-114
1133	F. Canu and G. Lecointre	1927	Les Bryozoaires cheilostomes des Faluns de Touraine et d'Anjou	Mémoires de la Société Géologique de France, n.s.	4	19-50
1134	F. Canu	1899	Les Ovicelles des Céidées	Bulletin de la Societé géologique de France	(3) 27	326-327
1135	F. Canu	1897	Bryozoaires du Cénomanien des Janières (Sarthe)	Bulletin de la Societé géologique de France	25	146-159
1136	A. G. Desmarest and L. Sueur	1814	Mémoire sur quelques Flustres et Cellépores fossiles	Bulletin de la Société Philomatique de Paris	1814	52-55
1137	F. Bizzarini and G. Braga	1982	The Triassic Bryozoa of the western tethyan Basin	Bollettino della Società Paleontologica Italiana	21	223-234
1138	F. Canu	1927	Bryozoaires In Types du Prodrome de Paleontologie de Alcide d'Orbigny	Annales de Paléontologie	16	102
1139	P. D. Taylor	1990	The impact of the SEM in studies of living and fossil bryozoans	Systematics Association	Special	259-280
1140	S. Mawatari	1948	On the metamorphosis of Tubulipora misakiensis Okada. Studies on fouling Bryozoa 5 [in Japanese]	Zoological Magazine	58	27-28
1141	P. D. Taylor	1986	Scanning electron microscopy of uncoated fossils	Palaeontology	29	135-143
1142	A. E. Verrill	1879	Contributions to the natural history of Arctic America. Molluscoids	United States National Museum Bulletin	15	148-150
1143	R. M. Brydone	1918	Notes on new or imperfectly known Chalk Polyzoa	Geological Magazine	5	1-4,97-100
1144	R. M. Brydone	1917	Notes on new or imperfectly known Chalk Polyzoa	Geological Magazine	4	49-53,145-148,492-496
1145	R. M. Brydone	1916	Notes on new or imperfectly known Chalk Polyzoa	Geological Magazine	3	97-100,241-243,337-335,433-435
1146	R. M. Brydone	1914	Notes on new or imperfectly known Chalk Polyzoa	Geological Magazine	1	97-99,345-347,481-483
1147	R. M. Brydone	1913	Notes on new or imperfectly known Chalk Polyzoa	Geological Magazine	10	97-99,196-199,248-250,436-438
1148	R. M. Brydone	1912	Notes on new or imperfectly known Chalk Polyzoa	Geological Magazine	9	7-8,145-147,294-296,433-435
1149	R. M. Brydone	1911	Notes on new or imperfectly known Chalk Polyzoa	Geological Magazine	8	153-156
1150	R. M. Brydone	1910	Notes on new or imperfectly known Chalk Polyzoa	Geological Magazine	7	4-5,76-77,145-147,258-260,390-392,481-483
1151	R. M. Brydone	1909	Notes on new or imperfectly known Chalk Polyzoa	Geological Magazine	6	337-339,398-400
1152	L. V. Nekhorosheva	1981	[in Russian] Late Silurian and Early Devonian bryozoans of Dolgy Island	Ezhegodnik Vsesoyuznogo Paleontologicheskogo Obshchestva	24	96-114
1153	G. Hillmer	1985	Bryozoen aus dem Morsum-Kliff auf Sylt	von Hacht, U. Fossilien von Sylt	1	1-131
1154	J. Yang, Z. Hu and F.-s. Xia	1988	Bryozoans from Late Devonian and Early Carboniferous of central Hunan	Palaeontologia Sinica	174	1-198
1155	R. L. Zimmer	1988	What and how bryozoan larvae "see"	American Zoologist	24	141A
1156	G. Bobin and M. Prenant	1954	Sur un bryozoaire perforant (Terebripora comma Soule), trouve en Mediterranee	Archives de Zoologie Experimentale et Generale	91	130-144
1157	A. K. Guha and K. Gopikrishna	2003	 Record of genus Thalamoporella from Tertiary sequences of Kachchh, Gujarat	Gondwana Geological Magazine	Sp. Vol. 6	105-113
1158	I. P. Morozova	1962	On the systematics and phylogeny of Fenestelloidea [in Russian]	Paleontologicheskii Zhurnal	1962	101-115
1159	V. B. Trizna	1961	Bryozoa of the early and Middle Carboniferous of some regions of the western slope of the Urals  [in Russian]	Trudy Vsesoyuznyi Nauchno-Issledovatel'skii Geologo-Razvedochnyii Neftanoi	179	27-160
1160	M. Meissner	1902	Liste der von Herrn Professor Semon bei Amboia und Thursday Island gesammelten Bryozoen	Denkschriften der Medizinisch-naturwissenschaftlichen Gesellschaft zu Jena	8	727-731
1161	M. I. Schulga-Nesterenko	1955	Carboniferous Bryozoa from the Russian Platform [in Russian]	Trudy Paleontologischeskogo Instituta Akademiya Nauk SSSR	57	1-207
1162	W. Waagen and J. Wentzel	1886-1887	Salt Range fossils, 1, Productus-Limestone fossils	Palaeontologia indica	(13)1	854-892,904-924,963-936
1163	A. Neviani	1901	Briozoi neogenici delle Calabrie	Palaeontographia Italica	6 (1900)	115-266
1164	A. Manzoni	1877	Bryozoaires du Pliocene supérieur de l'île de Rhodes	Mémoires de la Société Géologique de France, n.s.	t.1	59-72
1165	F. Canu	1900	Note préliminaire sur les bryozoaires de Tours	Comptes Rendus Association française Avancement Science	1899, Sess. 2	406-411
1166	F. Canu and R. S. Bassler	1930	Bryozoaires marins de Tunisie	Salambô Sta ocanogr Annales	5	1-91
1167	V. P. Nekhoroshev	1956	Class Bryozoa [in Russian]	Vses Nauk-Iss Geol Inst min Geol Okran Nedr SSSR (VSEGEI)	12	42-49
1168	E. Fernandez Pulpeiro, J. Cesar-Aldariz and O. Reverter Gil	2002	Sobre la presencia de Tricellaria inopinata d'Hondt and Occhipinti Ambrogi, 1985 (Bryozoa, Cheilostomatida) en el literal gallego (N.O. España)	NACC Bioloxia	11	207-213
1169	L. A. Viskova and L. G. Endelman	1971	Nekotariye novyye ..Cyclostomata... [in Russian]	In-t geol. i rasr. gor..iskola...AN SSSR		134-141
1170	P. E. Vinassa de Regny	1921	Sulla classificazione dei Trepostomata	Atti della Società Italiana di Scienze Naturali e del Museo Civico di Storia Naturale di Milano	59	212-231
1171	A. W. Waters	1884	Closure of the cyclostomatous Bryozoa	Journal of the Linnean Society (zoology) London	17	400-404
1172	J. W. Gregory	1896	A revision of the Jurassic Bryozoa. Part III.  The Genus Berenicea	Annals and Magazine of Natural History	(6) 17	41-49
1173	J. W. Gregory	1895	A revision of the Jurassic Bryozoa. Part II.  The Genus Proboscina	Annals and Magazine of Natural History	(6) 16	447-451
1174	G. J. Allmann	1844	Synopsis of the genera and species of zoophytes inhabiting the fresh waters of Ireland	Annals and Magazine of Natural History	(1) 13	328-331
1175	A. E. Verrill	1879	Brief contributions to zoology from the Museum of Yale College. No.43. Notice of recent additions to the marine fauna of the eastern coast of North America	American Journal of Science and Arts	18	52-54
1176	T. A. Moskalenko, A. G. Yadrenkina, S. V.S. and A. M. Yaroshinskaya	1978	Ordovician of the Siberian Platform. Key sections of the Upper Ordovician. [In Russian]	Trudy Instituta Geologii i Geofiziki (Novosibirsk)	340	1-125
1177	E. Dreyer	1961	Die Bryozoen des mitteldeutschen Zechstein	Freiberger Forschungshefte	111	5-52
1178	I. P. Morozova	1953	The family Hexagonellidae, its systematic position and phylogenetic associations  [in Russian]	Doklady Akademiya Nauk SSSR	90	283-285
1179	H. W. J. Amerom, M. J. M. Bless and C. F. Winkler Prins	1970	Some paleontological and stratigraphical aspects of the Upper Carboniferous Sama Formation (Asturias, Spain)	Mededelingen Rijks Geologische Dienst	21	9-79
