unknown-id1	unknown-id2	name	rank	unknown-id	authority-date	authority-name	date	comment
136135	20581	impressa bimucronata	113		1803	Bock	7/3/2004	Species typica Reussina Kluge, 1962;   Nunc Reussina fide Kluge (1962);   Etiam Discopora (?) fide Smitt (1872);   Recent, Arctic (Spitzbergen, Barents Sea);   Fossil: Cretaceous (Bogemsky deposits);
136136	20581	impressa carinata	113		1902	Bock	7/3/2004	non Audouin, 1826; Vide Eschara impressa;
136137	20581	impressa cornuta	113		1854	Bock	7/3/2004	in Savigny, non (Moll, 1803); Species typica Haplopoma Levinsen (1902);   Nunc Haplopoma fide Levinsen (1902);   Etiam Microporella fide Hincks (1880);   Etiam Reptoporina fide d'Orbigny (1852);   Recent, Mediterranean, northeast Atlantic, Indian Ocean (Red Sea);
136138	20581	impressa glabra	113		1880	Bock	7/3/2004	Vide Eschara impressa;
136139	20581	impressa pyriformis	113		1854	Bock	7/3/2004	Vide Eschara impressa;
134064	20415	impressum	113		1826	Bock	7/3/2004	in Savigny; Vide Flustra impressa;
134066	20415	impressum	113		0	Bock	7/3/2004	non Audouin in Savigny, 1826; Recent, Atlantic (Portugal);
134065	20415	impressum bimucronatum	113		1803	Bock	7/3/2004	Vide Eschara impressa;
134723	20513	improvisa	113		1972	Bock	7/3/2004	in Savigny; Vide Flustra impressa;
141149	30145	inaedificata	113		1882	Bock	12/3/2004	Vide Eschara impressa;
141775	30220	inaedificata	113		1882	Bock	12/3/2004	? vide Eschara; 
129518	20013	inaequalis	113		1912	Bock	7/3/2004	Vide Eschara bimucronata;
130645	20145	inaequalis	113		1957	Bock	7/3/2004	Recent, Mediterranean (Corsica);
135023	10090	inaequalis	113		1879	Bock	7/3/2004	Vide Lepralia granifera cornuta;
136019	20580	inaequalis	113		1852	Bock	7/3/2004	Subjective junior synonym Flustra impressa fide Hayward & Ryland (1979);   Nunc Haplopoma fide Hayward & Ryland (1979);   Recent, northeast Atlantic;
137438	10090	inaequalis	113		1852	Bock	7/3/2004	Vide Lepralia pyriformis;
139024	21329	inaequalis	113		1879	Bock	7/3/2004	in Savigny; Vide Flustra impressa;
139224	20880	inaequalis	113		1879	Bock	7/3/2004	Subjective junior synonym Haplopoma graniferum fide Ryland (1963);
139761	20946	inaequalis	113		1964	Bock	7/3/2004	Vide Eschara bimucronata;
126472	20834	inarmata	113		1884	Bock	7/3/2004	Nunc Buffonellodes fide Gordon (1989);   Recent, Pacific;
131232	21264	inarmata	113		1923	Bock	7/3/2004	Recent, Atlantic;
132844	20328	inarmata	113		2000	Bock	11/3/2004	Vide Diastopora inaedificata;
134255	20447	inarmata	113		1952	Bock	7/3/2004	Nunc Adeonella fide Cook (1982);   Recent, Indian (South Africa);
136020	20580	inarmata	113		1959	Bock	7/3/2004	Recent, Pacific (Indonesia);
136617	10089	inarmata	113		1929	Bock	7/3/2004	Vide Lepralia reticulata inaequalis;
138660	20848	inarmata	113		1926	Bock	7/3/2004	Vide Reptescharellina inaequalis (PEB corr);
140036	20989	inarmata	113		1962	Bock	7/3/2004	Etiam ?Micropora fide Jelly (1889);   Recent, IndoPacific (Philippines, Straits of Malacca);
133776	20379	inca	113		1847	Bock	7/3/2004	Vide Lepralia reticulata inaequalis;
135612	20566	inca	113		1939	Bock	7/3/2004	Vide Lepralia reticulata inaequalis;
137454	21260	inca	113		1847	Bock	7/3/2004	Recent, Atlantic (Ghana);
137877	20808	incallidum	113		1983	Bock	7/3/2004	Vide Schizoporella linearis inarmata;
133438	20352	incarnata	113		1932	Bock	7/3/2004	Vide Cellepora costazii inarmata;
138333	20834	incerta	113		1929	Bock	7/3/2004	in Liu, Yin & Ma 2001, Nomen nudum; Recent, China
132015	20212	incisa	113		1881	Bock	7/3/2004	Recent, eastern Pacific;
132927	20330	incisa	113		0	Bock	7/3/2004	Vide Micropora coriacea inarmata;
134271	21304	incisa	113		1884	Bock	7/3/2004	Nunc Velumella fide Canu & Bassler, 1929;   Recent, Pacific (Philippines);
