# TAXON-ID
#   Taxon id number
# AUTHOR
#   Author of Authoritative Listing of name
# 
TAXON-ID	AUTHOR
2108	1112
2109	1139
2110	1006
2111	1139
2112	1058
2113	1180
2114	1110
2115	1077
2116	1284
2117	1174
2118	1272
2119	1284
2120	1088
2121	1112
2122	1088
2123	1112
2124	1272
2125	1171
2126	1171
2127	1112
2128	1110
2129	1315
2130	1112
2131	1257
2132	1128
2133	1006
2134	1088
2135	1110
2136	1288
2137	1112
2138	1225
2139	1318
2140	1019
2141	1129
2142	1129
2143	1129
2144	1129
2145	1129
2146	1129
2147	1129
2148	1129
2150	1129
2151	1129
2152	1037
2153	1272
2154	1171
2155	1006
2156	1016
2157	1037
2158	1129
2159	1129
2160	1129
2161	1129
2162	1129
2163	1129
2164	1129
2165	1129
10001	1040
10002	1046
10003	1103
10004	1197
10005	1066
10006	1197
10007	1044
10008	1257
10009	1216
10010	1103
10011	1163
10012	1125
10013	1032
10014	1245
10015	1196
10016	1103
10017	1013
10018	1174
10019	1130
10020	1136
10021	1050
10022	1144
10023	1166
10024	1171
10025	1037
10026	1166
10027	1074
10028	1245
10029	1211
10030	1131
10031	1037
10032	1128
10033	1197
10034	1092
10035	1166
10036	1037
10037	1103
10038	1224
10039	1103
10040	1201
10041	1052
10042	1103
10043	1018
10044	1221
10045	1295
10046	1174
10047	1056
10048	1174
10049	1013
10050	1166
10051	1103
10052	1257
10053	1088
10054	1068
10055	1103
10056	1103
10057	1038
10058	1088
10059	1166
10060	1103
10061	1047
10062	1245
10063	1103
10064	1281
10065	1194
10066	1174
10067	1118
10068	1189
10069	1007
10070	1213
10071	1103
10072	1072
10073	1147
10074	1133
10075	1039
10076	1299
10077	1136
10078	1223
10079	1136
10080	1077
10081	1032
10082	1078
10083	1234
10084	1097
10085	1072
10086	1166
10087	1101
10088	1092
10089	1129
10090	1129
10091	1129
20001	1155
20002	1272
20003	1155
20004	1103
20005	1040
20006	1268
20007	1268
20008	1165
20009	1155
20010	1128
20011	1062
20012	1128
20013	1197
20014	1171
20015	1284
20016	1128
20017	1178
20018	1185
20019	1150
20020	1197
20021	1232
20022	1088
20023	1268
20024	1063
20025	1259
20026	1213
20027	1185
20028	1272
20029	1171
20030	1171
20031	1063
20032	1057
20033	1236
20034	1185
20035	1004
20036	1154
20037	1285
20038	1088
20039	1185
20040	1215
20041	1185
20042	1185
20043	1128
20044	1185
20045	1062
