ARTICLE-ID	YEAR	ARTICLE-TEXT
5197	1953	1953. The vertical distribution of the lunuliiform Bryozoa in the Tertiary of the Netherlands. Mededelingen van de Geologische Stichting. 7: 13-19.
5198	1952	1952. The Pliocene Bryozoa of the Low Countries and their bearing on the marine stratigraphy of the North Sea region. Mededelingen van de Geologische Stichting. 5: 6-233.
5216	1995	1995. New lunulitiform bryozoans from the Maastrichtian of Ukraine and Kazakhstan. Paleontologicheskii Zhurnal. 1995: 51-62.
1355	1926	1926. Observations on the early development of Membranipora villosa Hincks. Contributions to Canadian Biology and Fisheries New Series. 3: 249-263.
3972	1957	1957. Some South African Bryozoa. Transactions of the Royal Society of South Africa. 35: 71-95.
3973	1924	1924. The Bryozoa (Polyzoa) collected by the S.S. 'Pickle'. Report No. 3 of the Fisheries and Marine Biological Survey. For the year 1922. Special Reports. 10: 1-63.
4790	1913	1913. New or little-known Polyzoa. Proceedings of the Royal Society of Victoria (new series). 25: 357-362.
4791	1913	1913. Further descriptions of the Tertiary Polyzoa of Victoria. 12. Proceedings of the Royal Society of Victoria (new series). 25: 355-356.
4792	1911	1911. The results of deep-sea investigations in the Tasman Sea. 1 - The expedition of the H.M.C.S. "Miner". 5 - Polyzoa supplement. Records of the Australian Museum. 8: 118-189.
4793	1911	1911. Further descriptions of the Tertiary Polyzoa of Victoria. 11. Proceedings of the Royal Society of Victoria (new series). 23: 266-284.
4794	1910	1910. Observations on Parmularia obliqua and a fossil species. Transactions and Proceedings of the Royal Society of Victoria. 23: 42-43.
4795	1910	1910. On the growth and habits of the Biporae. Transactions and Proceedings of the Royal Society of Victoria. 23: 1-7.
4796	1910	1910. On a new species of Cellepora from the south Australian coast. Transactions and Proceedings of the Royal Society of Victoria. 23: 39-41.
4797	1909	1909. The results of deep-sea investigations in the Tasman Sea. The expedition of the H.M.C.S "Miner", 5. The Polyzoa. Records of the Australian Museum. 7: 267-273.
4798	1909	1909. Change of name of new species of Polyzoa (Idmonea fasciculata). Proceedings of the Royal Society of Victoria (new series). 21: 419.
4799	1909	1909. Polyzoa from the Gilbert Islands. Proceedings of the Royal Society of Victoria (new series). 21: 410-419.
4800	1908	1908. Further descriptions of the Tertiary Polyzoa of Victoria. 10. Proceedings of the Royal Society of Victoria (new series). 21: 233-239.
4801	1908	1908. Art. XVI. Polyzoa from the Gilbert Islands. Transactions and Proceedings of the Royal Society of Victoria. 21: 411-419.
4802	1905	1905. Lord Howe Island Polyzoa. Proceedings of the Royal Society of Victoria. 17: 386-390.
4803	1904	1904. Tabulated list of the fossil cheilostomatous Polyzoa in the Victorian Tertiary deposits. Transactions and Proceedings of the Royal Society of Victoria. 17: 182-219.
4804	1904	1904. Notes on the Victorian fossil Selenariidae, and descriptions of some new species (Recent and fossil). Proceedings of the Royal Society of Victoria (new series). 16: 207-217.
4805	1903	1903. Change of name for new genus of Polyzoa. Victorian Naturalist. 20: 99.
4806	1903	1903. Further descriptions of the Tertiary Polyzoa of Victoria. 9. Proceedings of the Royal Society of Victoria (new series). 16: 140-147.
4807	1902	1902. Further descriptions of the Tertiary Polyzoa of Victoria. 8. Proceedings of the Royal Society of Victoria (new series). 15: 17-27.
4808	1902	1902. Further descriptions of the Tertiary Polyzoa of Victoria. 7. Proceedings of the Royal Society of Victoria (new series). 14: 65-74.
4809	1901	1901. On a new name Vittaticella for the polyzoan genus Caloporella McG.. Proceedings of the Royal Society of Victoria (new series). 13: 201-203.
4810	1901	1901. Further descriptions of the Tertiary Polyzoa of Victoria. 6. Proceedings of the Royal Society of Victoria (new series). 13: 204-213.
4811	1901	1901. Further descriptions of the Tertiary Polyzoa of Victoria. 5. Proceedings of the Royal Society of Victoria (new series). 13: 183-190.
4812	1900	1900. Further descriptions of the Tertiary Polyzoa of Victoria. 4. Proceedings of the Royal Society of Victoria (new series). 13: 1-9.
4813	1900	1900. Further descriptions of the Tertiary Polyzoa of Victoria. 3. Proceedings of the Royal Society of Victoria (new series). 12: 162-169.
4814	1899	1899. Further descriptions of the Tertiary Polyzoa of Victoria. 2. Proceedings of the Royal Society of Victoria (new series). 12: 1-13.
4815	1898	1898. Further descriptions of the Tertiary Polyzoa of Victoria. 1. Proceedings of the Royal Society of Victoria (new series). 4: 14-22.
4816	1882	1882. Observations on living Polyzoa. Transactions and Proceedings of the Royal Society of Victoria. 18: 48-51.
4817	1880	1880. A new species of Polyzoa. Quarterly journal of the Microscopical Society of Victoria. 1: 64.
4818	1879	1879. A new species of Polyzoa. Quarterly journal of the Microscopical Society of Victoria. 1: 19.
1193	1991	1991. A study on the anascan-cribrimorphan bryozoans from Nansha Islands of China [in Chinese]. . 1991: 56-81.
5025	1985	1985. Late Carboniferous bryozoans from Xi Ujimqin Qi, Nei Mongol [in Chinese]. Acta Micropalaeontologica Sinica. 2: 133-142.
5031	1992	1992. On the genus Membranipora (Anasca: Cheilostomata: Bryozoa) from south Chinese seas. Raffles Bulletin of Zoology. 40: 103-144.
5032	1990	1990. Three new cheilostome bryozoans from the coasts of Shandong and Zhejiang Provinces [in Chinese]. Studia Marina Sinica. 31: 121-128.
5033	1987	1987. Ordovician bryozoans from Da Hingan Ling in northeast China [in Chinese]. Professional Papers Of Stratigraphy And Palaeontology. 17: 197-213.
5034	1985	1985. On genus Caulibugula Verrill, 1900, collected from the Chinese seas [in Chinese with English summary]. Studia Marina Sinica. 11: 127-151.
5035	1984	1984. On species of family Bicellariellidae (Bryozoa) from the Chinese seas  [in Chinese]. Studia Marina Sinica. 22: 255-314.
5036	1984	1984. On the species of family Scrupocellariidae collected from Chinese seas [in Chinese]. Studia Marina Sinica. 23: 257-308.
5037	1983	1983. On three species of genus Ellisina (Bryozoa) from the continental shelf of the east China Sea  [in Chinese]. Oceanologia Et Limnologia Sinica. 14: 169-172.
5038	1982	1982. Notes on Chinese Bryozoa of the family Flustridae. Acta Zootaxonomica Sinica. 7: 130-138.
5039	1982	1982. Two new species and one first record of genus Crassimarginatella from the East China Sea [in Chinese with English summary]. Oceanologia Et Limnologia Sinica. 13: 289-292.
5040	1982	1982. New species and new records of genera Antropora and Beania (Anasca, Bryozoa) from China coasts [in Chinese with English summary]. Oceanologia Et Limnologia Sinica. 13: 97-101.
5041	1982	1982. A new species of the genus Kinetoskias Damiellsen collected from the continental shelf of the East China Sea [in Chinese with English summary]. Studia Marina Sinica. 19: 75-80.
5042	1980	1980. Two new species of Scrupocellaria (Scrupocellariidae, Anasca) from Xisha Islands, Guangdong Province, China [in Chinese]. Studia Marina Sinica. 17: 179-187.
1026	1928	1928. Bryozoa. Geological Survey of Canada. 154: 143-168.
1097	1906	1906. A study of the James types of Ordovician and Silurian Bryozoa. United States National Museum Proceedings. 30: 1-66.
1106	1911	1911. Bryozoa [Middle Devonian, Wisconsin]. Wis Geol Survey Bull. 21: 49-67.
1424	1922	1922. The Bryozoa or moss animals. Annual report of the Smithsonian Institution Washington. 1920: 339-380.
8091	1952	1952. Taxonomic notes on genera of fossil and Recent Bryozoa. Journal of the Washington Academy of Science. 42: 381-385.
8092	1941	1941. Generic descriptions of some Upper Paleozoic Bryozoa. Journal of the Washington Academy of Science. 31: 173-179.
8093	1939	1939. The Hederelloidea, a suborder of Paleozoic cyclostomatous Bryozoa. Proceedings of the United States National Museum. 87: 25-91.
