TAXON-ID	ARTICLE-ID
500	6287
500	6300
500	6602
500	7901
500	8452
501	6876
502	0
520	0
521	6295
522	0
523	6287
524	6295
525	0
1009	6271
1010	0
1011	3564
1020	0
1021	0
1022	0
1023	0
1024	0
1025	4371
1025	5125
1026	7123
1027	0
1028	0
1029	0
1030	4585
1031	0
1032	4429
1032	4431
1033	0
1034	1971
1035	0
1036	0
1037	0
1038	0
1039	3525
1040	0
1041	0
1042	0
1043	0
1044	0
1045	1330
1045	4431
1046	1589
1047	0
1048	0
1049	0
1050	0
1051	0
1052	1572
1053	0
1054	0
1055	0
1056	0
1080	2282
1080	2540
1080	2541
1080	3114
1081	4351
1082	6650
1083	0
1084	0
1085	1042
1085	2282
1085	2491
1085	2492
1085	2493
1085	2542
1085	2683
1085	2816
1085	2899
1085	3114
1085	4187
1085	4188
1085	5142
1085	6517
1085	7126
1086	0
1087	0
1088	1237
1089	2540
1089	2541
1089	2683
1089	4554
1090	0
1091	0
1092	4346
1092	4347
1093	0
1094	2540
1094	2541
1110	1055
1110	5450
1111	0
1112	0
1113	0
1114	5272
1114	5273
1114	5450
1115	5450
1116	0
1117	0
1118	0
1119	5013
1119	7868
1120	3114
1120	4115
1120	7959
1121	0
1122	0
1123	0
1124	0
1125	2823
1126	0
1127	0
1128	0
1129	0
1130	0
1131	0
1132	0
1133	0
1134	0
1135	0
1136	0
1140	1553
1140	1554
1141	0
1142	0
1143	0
1144	0
1145	2220
1145	4585
1146	1228
1147	0
1148	1045
1149	1178
1150	0
1151	0
1152	0
1300	0
1301	0
1302	0
1303	7643
1304	0
1305	7932
1306	0
1307	1033
1307	2035
1307	4317
1308	0
1309	0
1310	1977
1310	1978
1310	2166
1310	2679
1310	2776
1310	3137
1310	4633
1310	4634
1310	7928
1310	8454
1311	0
1312	0
1315	0
1316	1991
1317	6271
1318	0
1319	1121
1319	1915
1319	2129
1319	2771
1319	6381
1320	0
1321	6190
1322	0
1333	0
1334	2177
1334	2184
1335	0
1336	1917
1336	7842
1336	8406
1336	8412
1337	0
1338	0
1339	0
1340	1917
1340	2128
1340	2413
1340	6271
1340	8451
1340	8453
1340	8456
1340	8459
1341	0
1342	0
1343	0
1344	0
1345	0
1346	0
1347	0
1348	0
1349	0
1350	0
1351	2111
1352	0
1353	0
1354	0
1355	0
1356	1919
1356	6189
1357	0
1358	0
1359	0
1360	0
1361	0
1400	0
1401	0
1402	0
1403	0
1404	0
1405	0
1406	0
1407	0
1408	0
1409	0
1410	0
1411	0
1412	0
1413	3436
1413	3437
1413	3443
1413	3445
1414	0
1450	0
1451	0
1452	3632
1453	6127
1453	6851
1454	0
1455	0
1456	0
1457	0
1458	0
1459	0
1460	0
1461	4856
1461	7201
1462	0
1463	0
1464	0
1465	0
1466	2784
1467	0
1468	8196
1469	0
1470	6769
1470	6770
1471	0
1472	0
1473	4869
1475	2784
1476	7290
1477	1213
1478	0
1479	0
1480	0
1481	0
1482	0
1483	0
1484	0
1485	3440
1485	3441
1486	1289
1486	1290
1486	5530
1487	0
1488	0
1489	0
1600	0
1601	5863
1602	0
1603	0
1604	0
1605	2326
1606	0
1607	5855
1608	5862
1609	0
1610	5863
1611	0
1612	0
1613	0
1614	0
1615	5862
1616	0
1617	0
1618	2864
1618	5855
1619	0
1620	0
1621	3802
1622	0
1623	0
1624	0
1625	0
1626	0
1627	0
1628	0
1629	0
1630	0
1631	0
1632	0
2000	0
2001	7184
2001	7189
2002	1807
2002	1863
2003	5940
2004	0
2005	0
2006	1983
2006	4314
2007	0
2008	0
