TAXON-ID	RANK
28151	Cenozoic, Recent
28162	Cenozoic, Recent
28163	Cenozoic, Recent
28197	Cenozoic, Recent
28236	Cenozoic, Recent
28244	Cenozoic, Recent
28351	Cenozoic, Recent
28379	Cenozoic, Recent
28397	Cenozoic, Recent
28484	Cenozoic, Recent
28496	Cenozoic, Recent
28546	Cenozoic, Recent
28555	Cenozoic, Recent
28604	Cenozoic, Recent
28644	Cenozoic, Recent
28647	Cenozoic, Recent
28649	Cenozoic, Recent
28689	Cenozoic, Recent
28705	Cenozoic, Recent
28723	Cenozoic, Recent
28734	Cenozoic, Recent
28747	Cenozoic, Recent
28780	Cenozoic, Recent
28787	Cenozoic, Recent
28817	Cenozoic, Recent
28861	Cenozoic, Recent
28885	Cenozoic, Recent
28934	Cenozoic, Recent
29009	Cenozoic, Recent
29053	Cenozoic, Cretaceous, Recent
29129	Cenozoic, Recent
29200	Cenozoic, Recent
29250	Cenozoic, Recent
29259	Cenozoic, Recent
29312	Cenozoic, Recent
29321	Cenozoic, Cretaceous, Recent
29324	Cenozoic, Recent
29328	Cenozoic, Recent
29388	Cenozoic, Recent
29389	Cenozoic, Recent
29396	Cenozoic, Recent
29423	Cenozoic, Recent
29425	Cenozoic, Recent
29427	Cenozoic, Recent
29446	Cenozoic, Recent
29454	Cenozoic, Recent
29559	Cenozoic, Recent
29580	Cenozoic, Recent
29624	Cenozoic, Recent
30033	Cenozoic, Recent
30033	Cenozoic, Recent
30196	Cenozoic, Recent
30550	Cenozoic, Recent
31090	Cenozoic, Recent
31143	Cenozoic, Recent
31143	Cenozoic, Recent
31601	Cenozoic, Recent
31645	Cenozoic, Recent
31645	Cenozoic, Recent
31763	Cenozoic, Recent
31907	Cenozoic, Recent
31911	Cenozoic, Recent
31918	Cenozoic, Recent
31930	Cenozoic, Recent
32283	Cenozoic, Recent
32467	Cenozoic, Recent
32545	Cenozoic, Recent
32705	Cenozoic, Recent
32705	Cenozoic, Recent
32710	Cenozoic, Recent
32710	Cenozoic, Recent
32758	Cenozoic, Recent
32758	Cenozoic, Recent
32986	Cenozoic, Recent
33004	Cenozoic, Recent
33175	Cenozoic, Recent
33218	Cenozoic, Recent
33262	Cenozoic, Recent
33262	Cenozoic, Recent
33297	Cenozoic, Recent
33334	Cenozoic, Recent
33353	Cenozoic, Recent
33353	Cenozoic, Recent
33751	Cenozoic, Recent
33827	Cenozoic, Recent
33940	Cenozoic, Recent
33969	Cenozoic, Recent
33971	Cenozoic, Recent
34095	Cenozoic, Recent
34395	Cenozoic, Recent
34410	Cenozoic, Recent
34418	Cenozoic, Recent
34703	Cenozoic, Recent
34908	Cenozoic, Recent
34918	Cenozoic, Recent
34918	Cenozoic, Recent
34919	Cenozoic, Recent
34974	Cenozoic, Recent
35018	Cenozoic, Recent
35043	Cenozoic, Recent
35048	Cenozoic, Recent
35294	Cenozoic, Recent
35311	Cenozoic, Recent
35318	Cenozoic, Recent
35332	Cenozoic, Recent
35543	Cenozoic, Recent
35603	Cenozoic, Recent
35623	Cenozoic, Recent
35760	Cenozoic, Recent
35829	Cenozoic, Recent
35995	Cenozoic, Recent
36068	Cenozoic, Recent
36245	Cenozoic, Recent
36267	Cenozoic, Recent
36337	Cenozoic, Recent
36337	Cenozoic, Recent
36338	Cenozoic, Recent
36588	Cenozoic, Recent
36733	Cenozoic, Recent
36918	Cenozoic, Recent
36918	Cenozoic, Recent
36979	Cenozoic, Recent
37017	Cenozoic, Recent
37099	Cenozoic, Recent
37101	Cenozoic, Recent
37215	Cenozoic, Recent
37615	Permian, Recent
37790	Cenozoic, Recent
37824	Cenozoic, Recent
37917	Cenozoic, Recent
38385	Cenozoic, Recent
38782	Cenozoic, Recent
38854	Cenozoic, Recent
38983	Cenozoic, Recent
38986	Cenozoic, Recent
38992	Cenozoic, Recent
38992	Cenozoic, Recent
39350	Cenozoic, Recent
39586	Cenozoic, Recent
39957	Cenozoic, Recent
40099	Cenozoic, Recent
40144	Cenozoic, Recent
40679	Cenozoic, Recent
40791	Cretaceous, Recent
40893	Cretaceous, Recent
40960	Cenozoic, Recent
41183	Cenozoic, Recent
41201	Cenozoic, Recent
41265	Cretaceous, Recent
41266	Cenozoic, Recent
41305	Cenozoic, Cretaceous, Recent
41489	Cenozoic, Recent
42416	Cenozoic, Recent
42417	Cenozoic, Recent
42485	Cenozoic, Recent
42620	Cenozoic, Recent
42919	Cenozoic, Recent
42981	Cenozoic, Recent
42983	Cenozoic, Recent
42998	Cenozoic, Recent
43008	Cenozoic, Recent
43246	Cenozoic, Recent
43458	Cenozoic, Recent
43466	Cenozoic, Recent
43467	Cenozoic, Recent
43468	Cenozoic, Recent
43469	Cenozoic, Recent
43470	Cenozoic, Recent
43937	Cenozoic, Recent
44207	Cenozoic, Recent
44378	Cenozoic, Recent
44379	Cenozoic, Recent
44385	Cenozoic, Recent
44391	Cenozoic, Recent
44392	Cenozoic, Recent
44583	Cenozoic, Recent
44724	Cenozoic, Recent
